,Film,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice
0,Dear White People,2014,R,04 Dec 2014,108 min,79,6.1,"23,926",tt2235108,N/A
0,Creation,2009,PG-13,25 Sep 2009,108 min,51,6.7,"13,626",tt0974014,"$300,000"
0,Dallas Buyers Club,2013,R,22 Nov 2013,117 min,80,8.0,"426,639",tt0790636,"$23,750,994"
0,Dead Poets Society,1989,PG,09 Jun 1989,128 min,79,8.1,"407,143",tt0097165,N/A
0,Diner,1982,R,21 May 1982,110 min,82,7.1,"18,111",tt0083833,N/A
0,Days of Heaven,1978,PG,06 Oct 1978,94 min,93,7.8,"50,241",tt0077405,N/A
0,Cobb,1994,R,02 Dec 1994,128 min,66,6.4,"6,890",tt0109450,N/A
0,Bridesmaids,2011,R,13 May 2011,125 min,75,6.8,"261,565",tt1478338,"$166,500,000"
0,Charlie's Angels,2000,PG-13,03 Nov 2000,98 min,52,5.5,"172,273",tt0160127,"$124,420,707"
0,City of Joy,1992,PG-13,17 Apr 1992,132 min,N/A,6.5,"4,526",tt0103976,N/A
0,Cedar Rapids,2011,R,18 Mar 2011,87 min,70,6.2,"35,674",tt1477837,"$6,800,000"
0,Clerks,1994,R,09 Nov 1994,92 min,70,7.7,"208,478",tt0109445,N/A
0,Tall in the Saddle,1944,Approved,29 Sep 1944,87 min,N/A,7.0,"2,719",tt0037343,N/A
0,Bean,1997,PG-13,07 Nov 1997,89 min,52,6.5,"94,780",tt0118689,N/A
0,Candle to Water,2012,N/A,01 Nov 2012,110 min,N/A,4.6,17,tt2387411,N/A
0,Bringing Out the Dead,1999,R,22 Oct 1999,121 min,70,6.8,"62,055",tt0163988,N/A
0,Boogie Nights,1997,R,31 Oct 1997,155 min,85,7.9,"231,876",tt0118749,N/A
0,The Bonfire of the Vanities,1990,R,21 Dec 1990,125 min,27,5.6,"21,098",tt0099165,N/A
0,Break,2019,N/A,14 Feb 2019,85 min,N/A,4.4,"1,078",tt9805504,N/A
0,Breaking Away,1979,PG,20 Jul 1979,101 min,91,7.7,"21,018",tt0078902,N/A
0,Authors Anonymous,2014,PG-13,18 Mar 2014,92 min,16,4.3,"1,974",tt2114461,N/A
0,Boyhood,2014,R,15 Aug 2014,165 min,100,7.9,"328,711",tt1065073,"$18,859,617"
