,Film_x,Genre,A,B,D,F,S,test,Unnamed: 0,Film_y,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice
171,American Pie,Comedy,6,0,9,33,29,american pie,0,American Pie,1999,R,09 Jul 1999,95 min,58.0,7.0,"367,618",tt0163651,
172,Tombstone,Western,4,5,27,1,1,tombstone,0,Tombstone,1993,R,25 Dec 1993,130 min,50.0,7.8,"122,147",tt0108358,
173,12,Comedy,0,0,0,0,0,12,0,12,2007,PG-13,20 Sep 2007,159 min,72.0,7.7,"13,680",tt0488478,
174,True Grit,Western,1,3,9,0,0,true grit,0,True Grit,2010,PG-13,22 Dec 2010,110 min,80.0,7.6,"301,962",tt1403865,"$171,031,347"
175,A Serious Man,Comedy,4,0,0,17,6,a serious man,0,A Serious Man,2009,R,06 Nov 2009,106 min,83.0,7.0,"129,672",tt1019452,"$9,190,525"
176,Ace Ventura: Pet Detective,Comedy,0,0,0,0,0,ace ventura: pet detective,0,Ace Ventura: Pet Detective,1994,PG-13,04 Feb 1994,86 min,37.0,6.9,"270,197",tt0109040,
177,Bamboozled,Drama,13,3,12,1,1,bamboozled,0,Bamboozled,2000,R,20 Oct 2000,135 min,50.0,6.5,"9,814",tt0215545,"$1,883,628"
178,Being There,Drama,6,3,6,1,3,being there,0,Being There,1979,PG,08 Feb 1980,130 min,83.0,8.0,"63,525",tt0078841,
179,Basquiat,Drama,2,0,3,21,13,basquiat,0,Basquiat,1996,R,09 Aug 1996,107 min,65.0,6.9,"18,958",tt0115632,
180,Awakenings,Drama,0,0,0,0,0,awakenings,0,Awakenings,1990,PG-13,11 Jan 1991,121 min,74.0,7.8,"119,327",tt0099077,
181,Anna Karenina,Drama,0,0,3,0,0,anna karenina,0,Anna Karenina,2012,R,07 Sep 2012,129 min,63.0,6.6,"89,166",tt1781769,"$12,802,907"
182,American Splendor,Drama,6,2,9,3,18,american splendor,0,American Splendor,2003,R,12 Sep 2003,101 min,90.0,7.4,"46,666",tt0305206,"$5,977,550"
183,An Education,Drama,1,0,0,0,0,an education,0,An Education,2009,PG-13,05 Feb 2010,100 min,85.0,7.3,"126,214",tt1174732,"$12,512,069"
184,August: Osage County,Drama,12,5,32,38,25,august: osage county,0,August: Osage County,2013,R,10 Jan 2014,121 min,58.0,7.2,"82,453",tt1322269,"$29,202,643"
185,American Sniper,Drama,20,3,3,60,28,american sniper,0,American Sniper,2014,R,16 Jan 2015,133 min,72.0,7.3,"426,179",tt2179136,"$274,377,268"
186,American Madness,Drama,0,0,0,0,0,american madness,0,American Madness,1932,Passed,15 Aug 1932,75 min,,7.4,"1,739",tt0022626,
187,American Graffiti,Drama,7,11,8,0,11,american graffiti,0,American Graffiti,1973,PG,11 Aug 1973,110 min,97.0,7.4,"79,136",tt0069704,
188,At First Sight,Drama,0,0,0,0,0,at first sight,0,At First Sight,1999,PG-13,15 Jan 1999,128 min,40.0,6.0,"12,687",tt0132512,
189,Beloved,Drama,0,1,8,0,1,beloved,0,Beloved,1998,R,16 Oct 1998,172 min,57.0,6.0,"6,937",tt0120603,
190,American Beauty,Drama,7,2,3,21,10,american beauty,0,American Beauty,1999,R,01 Oct 1999,122 min,84.0,8.3,"1,041,670",tt0169547,
191,Amelia,Drama,2,0,5,1,1,amelia,0,Amelia,2009,PG,23 Oct 2009,111 min,37.0,5.8,"11,770",tt1129445,"$14,195,118"
192,Wild Wild West,Western,9,0,11,1,5,wild wild west,0,Wild Wild West,1999,PG-13,30 Jun 1999,106 min,38.0,4.9,"150,148",tt0120891,
193,All About Eve,Drama,0,0,1,0,0,all about eve,0,All About Eve,1950,Passed,27 Oct 1950,138 min,98.0,8.2,"116,403",tt0042192,
194,All the King's Men,Drama,0,0,0,0,0,all the king's men,0,All the King's Men,2006,PG-13,22 Sep 2006,128 min,37.0,6.2,"23,302",tt0405676,
195,12 Years a Slave,Drama,0,1,25,1,0,12 years a slave,0,12 Years a Slave,2013,R,08 Nov 2013,134 min,96.0,8.1,"617,390",tt2024544,"$50,628,650"
196,Ali,Drama,3,0,6,11,2,ali,0,Ali,2001,R,25 Dec 2001,157 min,65.0,6.8,"91,630",tt0248667,"$58,183,966"
197,50-50,Drama,4,2,2,26,15,50-50,0,50-50,2011,,,15 min,,6.1,34,tt1833204,
198,Amadeus,Drama,0,0,3,2,6,amadeus,0,Amadeus,1984,R,19 Sep 1984,160 min,88.0,8.3,"357,893",tt0086879,
199,42,Drama,1,3,8,0,3,42,0,42,2013,PG-13,12 Apr 2013,128 min,62.0,7.5,"81,222",tt0453562,"$95,001,343"
200,Walking Tall,Thriller,3,1,0,1,1,walking tall,0,Walking Tall,2004,PG-13,02 Apr 2004,86 min,44.0,6.3,"69,155",tt0351977,"$45,860,039"
201,Affliction,Drama,8,11,22,53,17,affliction,0,Affliction,1997,R,19 Feb 1999,114 min,79.0,7.0,"14,661",tt0118564,
202,12 and Holding,Drama,9,2,3,10,10,12 and holding,0,12 and Holding,2005,R,07 Jul 2006,94 min,65.0,7.5,"6,623",tt0417385,
203,Very Bad Things,Thriller,8,2,6,66,11,very bad things,0,Very Bad Things,1998,R,25 Nov 1998,100 min,31.0,6.4,"44,249",tt0124198,
204,Zero Dark Thirty,Thriller,4,1,1,45,7,zero dark thirty,0,Zero Dark Thirty,2012,R,11 Jan 2013,157 min,95.0,7.4,"264,319",tt1790885,"$95,720,716"
205,Wild Things,Crime,9,6,4,22,27,wild things,0,Wild Things,1998,R,20 Mar 1998,108 min,52.0,6.5,"105,203",tt0120890,
206,Wall Street,Crime,7,10,10,3,6,wall street,0,Wall Street,1987,R,11 Dec 1987,126 min,56.0,7.4,"139,830",tt0094291,
207,We Own the Night,Crime,5,1,5,65,15,we own the night,0,We Own the Night,2007,R,12 Oct 2007,117 min,59.0,6.8,"83,351",tt0498399,"$27,600,000"
208,Wanted,Crime,10,5,17,23,14,wanted,0,Wanted,2008,R,27 Jun 2008,110 min,64.0,6.7,"353,077",tt0493464,"$134,294,280"
209,While She Was Out,Crime,12,12,4,5,12,while she was out,0,While She Was Out,2008,R,26 Mar 2009,86 min,40.0,4.8,"6,285",tt0887971,
210,Ticker,Crime,1,2,2,15,11,ticker,0,Ticker,2001,R,23 Jun 2001,92 min,,3.6,"6,489",tt0196158,
211,Traffic,Crime,1,0,3,48,17,traffic,0,Traffic,2000,R,05 Jan 2001,147 min,86.0,7.6,"192,068",tt0181865,"$123,836,420"
212,Phone Booth,Thriller,9,6,8,49,19,phone booth,0,Phone Booth,2002,R,04 Apr 2003,81 min,56.0,7.0,"246,069",tt0183649,"$46,524,362"
213,Shifty,Thriller,0,0,0,176,14,shifty,0,Shifty,2008,Unrated,24 Apr 2009,85 min,,6.5,"2,826",tt1104126,
214,Single White Female,Thriller,1,3,1,6,4,single white female,0,Single White Female,1992,R,14 Aug 1992,107 min,63.0,6.4,"31,211",tt0105414,
215,Spare Me,Thriller,2,1,0,15,3,spare me,0,Spare Me,1994,,03 Sep 1994,,,6.7,27,tt0108200,
216,Taxi Driver,Crime,5,2,11,23,8,taxi driver,0,Taxi Driver,1976,R,09 Feb 1976,114 min,94.0,8.3,"695,384",tt0075314,
217,Year One,Adventure,9,0,2,1,5,year one,0,Year One,2009,PG-13,19 Jun 2009,97 min,34.0,4.9,"90,154",tt1045778,"$43,337,279"
218,White Squall,Adventure,1,7,8,6,9,white squall,0,White Squall,1996,PG-13,02 Feb 1996,129 min,53.0,6.6,"20,658",tt0118158,
219,xXx,Adventure,11,6,8,0,19,xxx,0,xXx,2002,PG-13,09 Aug 2002,124 min,48.0,5.9,"171,012",tt0295701,"$141,134,092"
220,Tomorrow Never Dies,Adventure,1,0,7,0,0,tomorrow never dies,0,Tomorrow Never Dies,1997,PG-13,19 Dec 1997,119 min,52.0,6.5,"176,993",tt0120347,
221,War for the Planet of the Apes,Adventure,0,0,0,1,1,war for the planet of the apes,0,War for the Planet of the Apes,2017,PG-13,14 Jul 2017,140 min,82.0,7.4,"220,013",tt3450958,"$146,872,826"
222,Thunderbirds,Adventure,1,0,2,0,0,thunderbirds,0,Thunderbirds,2004,PG,30 Jul 2004,95 min,36.0,4.2,"12,891",tt0167456,"$6,768,055"
223,Thelma & Louise,Crime,15,6,38,18,44,thelma & louise,0,Thelma & Louise,1991,R,24 May 1991,130 min,88.0,7.5,"131,689",tt0103074,
224,Someone To Watch Over Me,Crime,12,1,8,34,9,someone to watch over me,0,Someone to Watch Over Me,1987,R,09 Oct 1987,106 min,55.0,6.1,"9,057",tt0094008,
225,Wild Hogs,Adventure,20,8,9,0,12,wild hogs,0,Wild Hogs,2007,PG-13,02 Mar 2007,100 min,27.0,5.8,"112,516",tt0486946,"$168,213,584"
226,Snatch,Crime,1,0,0,155,9,snatch,0,Snatch,2000,R,19 Jan 2001,102 min,55.0,8.3,"760,412",tt0208092,"$30,093,107"
227,Spartan,Crime,1,6,0,32,2,spartan,0,Spartan,2004,R,12 Mar 2004,106 min,60.0,6.5,"28,734",tt0360009,"$4,291,858"
228,Shallow Grave,Crime,0,0,0,5,1,shallow grave,0,Shallow Grave,1994,R,10 Feb 1995,89 min,67.0,7.3,"55,486",tt0111149,
229,Sicario,Crime,4,1,2,32,9,sicario,0,Sicario,2015,R,02 Oct 2015,121 min,82.0,7.6,"356,809",tt3397884,
230,Rush Hour,Crime,17,3,23,40,28,rush hour,0,Rush Hour,1998,PG-13,18 Sep 1998,98 min,60.0,7.0,"232,877",tt0120812,
231,Reservoir Dogs,Crime,31,10,13,200,67,reservoir dogs,0,Reservoir Dogs,1992,R,02 Sep 1992,99 min,79.0,8.3,"888,475",tt0105236,
232,Rush Hour 2,Crime,16,1,7,0,24,rush hour 2,0,Rush Hour 2,2001,PG-13,03 Aug 2001,90 min,48.0,6.6,"194,706",tt0266915,
233,Ronin,Crime,7,6,13,35,12,ronin,0,Ronin,1998,R,25 Sep 1998,122 min,67.0,7.3,"168,282",tt0122690,
234,RocknRolla,Crime,0,0,0,55,11,rocknrolla,0,RocknRolla,2008,R,31 Oct 2008,114 min,53.0,7.3,"229,434",tt1032755,"$5,665,302"
235,Reindeer Games,Crime,3,2,26,61,14,reindeer games,0,Reindeer Games,2000,R,25 Feb 2000,104 min,37.0,5.8,"36,767",tt0184858,
236,Smokin' Aces,Crime,17,10,13,65,53,smokin' aces,0,Smokin' Aces,2006,R,26 Jan 2007,108 min,45.0,6.7,"135,631",tt0475394,"$35,600,000"
237,Scarface,Crime,6,1,3,42,14,scarface,0,Scarface,1983,R,09 Dec 1983,170 min,65.0,8.3,"711,819",tt0086250,"$656,161"
238,Pineapple Express,Crime,11,5,2,194,61,pineapple express,0,Pineapple Express,2008,R,06 Aug 2008,111 min,64.0,6.9,"308,770",tt0910936,
239,Panic Room,Thriller,5,0,5,30,12,panic room,0,Panic Room,2002,R,29 Mar 2002,112 min,65.0,6.8,"250,791",tt0258000,"$95,308,367"
240,Observe and Report,Crime,18,10,34,87,46,observe and report,0,Observe and Report,2009,R,10 Apr 2009,86 min,54.0,5.8,"59,971",tt1197628,"$23,993,605"
241,Mini's First Time,Crime,2,8,7,25,9,mini's first time,0,Mini's First Time,2006,R,09 Aug 2007,91 min,45.0,5.8,"7,915",tt0425253,"$21,828"
242,Only God Forgives,Thriller,0,1,0,28,2,only god forgives,0,Only God Forgives,2013,R,22 May 2013,90 min,37.0,5.7,"105,083",tt1602613,"$700,000"
243,Ocean's Eleven,Thriller,1,2,7,7,14,ocean's eleven,0,Ocean's Eleven,2001,PG-13,07 Dec 2001,116 min,74.0,7.7,"500,741",tt0240772,"$183,349,128"
244,Public Enemies,Crime,2,5,11,3,3,public enemies,0,Public Enemies,2009,R,01 Jul 2009,140 min,70.0,7.0,"275,023",tt1152836,"$97,000,000"
245,Ocean's Twelve,Thriller,1,1,6,1,4,ocean's twelve,0,Ocean's Twelve,2004,PG-13,10 Dec 2004,125 min,58.0,6.5,"349,441",tt0349903,"$125,402,117"
246,Obsessed,Thriller,7,4,6,8,3,obsessed,0,Obsessed,2009,PG-13,24 Apr 2009,108 min,25.0,5.0,"28,685",tt1198138,"$68,261,644"
247,Nurse Betty,Thriller,12,4,32,45,30,nurse betty,0,Nurse Betty,2000,R,08 Sep 2000,110 min,69.0,6.1,"32,505",tt0171580,
248,Pulp Fiction,Crime,41,13,22,169,72,pulp fiction,0,Pulp Fiction,1994,R,14 Oct 1994,154 min,94.0,8.9,"1,764,981",tt0110912,
249,Ninja Assassin,Thriller,1,1,3,29,6,ninja assassin,0,Ninja Assassin,2009,R,25 Nov 2009,99 min,34.0,6.3,"66,929",tt1186367,"$38,105,077"
250,Nick of Time,Thriller,3,5,4,22,8,nick of time,0,Nick of Time,1995,R,22 Nov 1995,90 min,,6.3,"37,916",tt0113972,
251,No Country for Old Men,Thriller,5,2,9,2,1,no country for old men,0,No Country for Old Men,2007,R,21 Nov 2007,122 min,91.0,8.1,"823,136",tt0477348,"$74,223,625"
252,Martha Marcy May Marlene,Thriller,4,0,1,14,5,martha marcy may marlene,0,Martha Marcy May Marlene,2011,R,21 Dec 2011,102 min,75.0,6.9,"47,560",tt1441326,"$2,981,038"
253,Margin Call,Thriller,2,0,3,67,11,margin call,0,Margin Call,2011,R,29 Sep 2011,107 min,76.0,7.1,"112,802",tt1615147,"$600,000"
254,Machete,Thriller,10,12,11,50,14,machete,0,Machete,2010,R,03 Sep 2010,105 min,60.0,6.6,"187,641",tt0985694,"$26,200,000"
255,Snow White and the Huntsman,Adventure,1,0,2,0,0,snow white and the huntsman,0,Snow White and the Huntsman,2012,PG-13,01 Jun 2012,127 min,57.0,6.1,"267,818",tt1735898,"$155,081,785"
256,Metro,Thriller,5,5,6,45,27,metro,0,Metro,1997,R,17 Jan 1997,117 min,,5.5,"25,096",tt0119664,
257,Midnight Express,Thriller,14,1,8,43,21,midnight express,0,Midnight Express,1978,R,06 Oct 1978,121 min,59.0,7.6,"71,083",tt0077928,
258,Point Break,Adventure,14,4,15,54,31,point break,0,Point Break,1991,R,12 Jul 1991,122 min,58.0,7.3,"150,813",tt0102685,
259,Miller's Crossing,Thriller,1,16,23,1,2,miller's crossing,0,Miller's Crossing,1990,R,05 Oct 1990,115 min,66.0,7.7,"123,096",tt0100150,
260,Robin Hood: Prince of Thieves,Adventure,2,1,19,0,0,robin hood: prince of thieves,0,Robin Hood: Prince of Thieves,1991,PG-13,14 Jun 1991,143 min,51.0,6.9,"173,748",tt0102798,
261,Sideways,Adventure,6,2,6,80,16,sideways,0,Sideways,2004,R,21 Jan 2005,127 min,94.0,7.5,"175,791",tt0375063,"$71,444,367"
262,Machine Gun Preacher,Crime,1,4,6,28,13,machine gun preacher,0,Machine Gun Preacher,2011,R,02 Nov 2011,129 min,43.0,6.8,"61,962",tt1586752,"$400,000"
263,Made,Crime,22,3,10,126,85,made,0,Made,2001,R,31 Aug 2001,95 min,62.0,6.4,"16,911",tt0227005,"$3,673,981"
264,Max Payne,Crime,2,2,1,0,7,max payne,0,Max Payne,2008,PG-13,17 Oct 2008,100 min,31.0,5.4,"120,508",tt0467197,"$40,632,110"
265,Miami Vice,Crime,4,2,1,23,10,miami vice,0,Miami Vice,2006,R,28 Jul 2006,132 min,65.0,6.0,"107,576",tt0430357,"$63,400,000"
266,Man On Fire,Crime,6,0,3,19,6,man on fire,0,Man on Fire,2004,R,23 Apr 2004,146 min,47.0,7.7,"321,537",tt0328107,"$77,600,000"
267,Mean Streets,Crime,0,2,3,11,12,mean streets,0,Mean Streets,1973,R,14 Oct 1973,112 min,96.0,7.3,"95,563",tt0070379,
268,"Lock, Stock and Two Smoking Barrels",Thriller,0,0,0,85,16,"lock, stock and two smoking barrels",0,"Lock, Stock and Two Smoking Barrels",1998,R,28 Aug 1998,107 min,66.0,8.2,"520,258",tt0120735,
269,Jackie Brown,Crime,52,8,14,109,64,jackie brown,0,Jackie Brown,1997,R,25 Dec 1997,154 min,64.0,7.5,"306,026",tt0119396,
270,Law Abiding Citizen,Thriller,15,5,8,43,32,law abiding citizen,0,Law Abiding Citizen,2009,R,16 Oct 2009,109 min,34.0,7.4,"264,575",tt1197624,"$73,343,413"
271,Lord of War,Crime,2,0,2,54,3,lord of war,0,Lord of War,2005,R,16 Sep 2005,122 min,62.0,7.6,"288,049",tt0399295,"$24,033,036"
272,Killing Zoe,Thriller,10,5,7,82,21,killing zoe,0,Killing Zoe,1993,R,01 Sep 1994,96 min,,6.5,"19,391",tt0110265,
273,John Wick,Thriller,2,1,1,36,9,john wick,0,John Wick,2014,R,24 Oct 2014,101 min,68.0,7.4,"514,375",tt2911666,
274,Joker,Thriller,10,0,0,36,15,joker,0,Joker,2019,R,04 Oct 2019,122 min,59.0,8.5,"809,274",tt7286456,
275,Into the Woods,Adventure,0,0,0,0,0,into the woods,0,Into the Woods,2014,PG,25 Dec 2014,125 min,69.0,5.9,"128,879",tt2180411,"$89,789,227"
276,Kalifornia,Thriller,7,7,9,22,14,kalifornia,0,Kalifornia,1993,R,03 Sep 1993,117 min,49.0,6.7,"49,891",tt0107302,
277,Jay and Silent Bob Strike Back,Adventure,38,40,6,202,84,jay and silent bob strike back,0,Jay and Silent Bob Strike Back,2001,R,24 Aug 2001,104 min,51.0,6.8,"146,326",tt0261392,"$29,885,424"
278,Hudson Hawk,Crime,6,5,18,16,13,hudson hawk,0,Hudson Hawk,1991,R,24 May 1991,100 min,17.0,5.8,"50,686",tt0102070,
279,Life of Pi,Adventure,0,0,0,0,0,life of pi,0,Life of Pi,2012,PG,21 Nov 2012,127 min,79.0,7.9,"566,900",tt0454876,"$103,500,000"
280,Into the Wild,Adventure,4,0,2,4,7,into the wild,0,Into the Wild,2007,R,19 Oct 2007,148 min,73.0,8.1,"556,447",tt0758758,"$18,173,360"
281,Jacob's Ladder,Thriller,1,7,29,19,20,jacob's ladder,0,Jacob's Ladder,1990,R,02 Nov 1990,113 min,62.0,7.5,"95,662",tt0099871,
282,Indiana Jones and the Last Crusade,Adventure,0,0,5,0,0,indiana jones and the last crusade,0,Indiana Jones and the Last Crusade,1989,PG-13,24 May 1989,127 min,65.0,8.2,"671,347",tt0097576,
283,Indiana Jones and the Temple of Doom,Adventure,2,0,8,0,1,indiana jones and the temple of doom,0,Indiana Jones and the Temple of Doom,1984,PG,23 May 1984,118 min,57.0,7.6,"434,438",tt0087469,
284,In the Bedroom,Crime,2,3,1,5,3,in the bedroom,0,In the Bedroom,2001,R,08 Feb 2002,131 min,86.0,7.4,"36,572",tt0247425,"$35,733,119"
285,Henry's Crime,Crime,0,2,7,12,11,henry's crime,0,Henry's Crime,2010,R,14 Jan 2011,108 min,49.0,6.0,"18,377",tt1220888,"$100,000"
286,Gran Torino,Crime,8,20,36,31,18,gran torino,0,Gran Torino,2008,R,09 Jan 2009,116 min,72.0,8.1,"702,888",tt1205489,"$148,055,047"
287,Horrible Bosses,Crime,9,4,8,48,27,horrible bosses,0,Horrible Bosses,2011,R,08 Jul 2011,98 min,57.0,6.9,"413,492",tt1499658,"$116,900,000"
288,John Q,Thriller,0,0,0,0,0,john q,0,John Q,2002,PG-13,15 Feb 2002,116 min,30.0,7.1,"120,302",tt0251160,"$71,026,631"
289,Gone in 60 Seconds,Crime,15,3,15,9,33,gone in 60 seconds,0,Gone in 60 Seconds,2000,PG-13,09 Jun 2000,118 min,35.0,6.5,"255,572",tt0187078,"$100,978,700"
290,Frozen River,Crime,3,4,2,5,8,frozen river,0,Frozen River,2008,R,05 Sep 2008,97 min,82.0,7.1,"24,235",tt0978759,"$2,061,019"
291,Death to Smoochy,Crime,16,7,5,39,12,death to smoochy,0,Death to Smoochy,2002,R,29 Mar 2002,109 min,38.0,6.4,"38,056",tt0266452,"$8,308,230"
292,Get Shorty,Crime,0,0,0,0,0,get shorty,0,Get Shorty,1995,R,20 Oct 1995,105 min,82.0,6.9,"74,125",tt0113161,
293,Drive,Crime,4,0,1,43,3,drive,0,Drive,2011,R,16 Sep 2011,100 min,78.0,7.8,"552,974",tt0780504,"$34,300,000"
294,Gangs of New York,Crime,0,2,21,0,1,gangs of new york,0,Gangs of New York,2002,R,20 Dec 2002,167 min,72.0,7.5,"393,904",tt0217505,"$77,605,296"
295,Insomnia,Thriller,6,4,4,21,13,insomnia,0,Insomnia,2002,R,24 May 2002,118 min,78.0,7.2,"265,985",tt0278504,"$67,300,000"
296,Go,Crime,14,6,2,61,34,go,0,Go,1999,R,09 Apr 1999,102 min,72.0,7.2,"65,835",tt0139239,
297,Gang Related,Crime,16,4,25,103,47,gang related,0,Gang Related,1997,R,08 Oct 1997,111 min,,6.5,"7,732",tt0118900,
298,Hostage,Thriller,19,2,15,73,25,hostage,0,Hostage,2005,R,11 Mar 2005,113 min,44.0,6.6,"105,076",tt0340163,"$34,617,915"
299,Heist,Thriller,2,3,2,33,5,heist,0,Heist,2001,R,09 Nov 2001,109 min,66.0,6.5,"32,600",tt0252503,"$23,287,872"
300,Heat,Thriller,8,5,2,44,8,heat,0,Heat,1995,R,15 Dec 1995,170 min,76.0,8.2,"557,580",tt0113277,
301,Get Carter,Thriller,0,4,0,2,5,get carter,0,Get Carter,2000,R,06 Oct 2000,102 min,24.0,5.2,"31,985",tt0208988,"$14,551,088"
302,Godfather,Crime,1,6,4,0,0,godfather,0,Godfather,1991,Not Rated,15 Nov 1991,150 min,,8.6,"2,644",tt0353496,
303,Hard Rain,Thriller,3,3,11,3,15,hard rain,0,Hard Rain,1998,R,16 Jan 1998,97 min,36.0,5.9,"31,475",tt0120696,
304,Hackers,Thriller,4,1,1,1,24,hackers,0,Hackers,1995,PG-13,15 Sep 1995,105 min,46.0,6.3,"64,073",tt0113243,
305,Dumb and Dumber,Adventure,6,5,14,6,13,dumb and dumber,0,Dumb and Dumber,1994,PG-13,16 Dec 1994,107 min,41.0,7.3,"345,069",tt0109686,
306,Zootopia,Animation,0,0,0,0,0,zootopia,0,Zootopia,2016,PG,04 Mar 2016,108 min,78.0,8.0,"416,353",tt2948356,"$341,264,012"
307,Cast Away,Adventure,1,5,26,20,15,cast away,0,Cast Away,2000,PG-13,22 Dec 2000,143 min,73.0,7.8,"506,438",tt0162222,
308,Croupier,Crime,0,2,0,18,10,croupier,0,Croupier,1998,Not Rated,28 Jul 2000,94 min,75.0,7.1,"17,887",tt0159382,
309,Deadpool,Adventure,7,2,1,35,22,deadpool,0,Deadpool,2016,R,12 Feb 2016,108 min,65.0,8.0,"874,155",tt1431045,"$328,674,489"
310,Capote,Crime,0,0,2,2,0,capote,0,Capote,2005,R,03 Feb 2006,114 min,88.0,7.3,"122,713",tt0379725,"$28,337,516"
311,Crime Spree,Crime,9,1,1,30,15,crime spree,0,Crime Spree,2003,R,16 Apr 2003,105 min,,6.5,"5,197",tt0310924,
312,Colombiana,Crime,6,8,0,13,8,colombiana,0,Colombiana,2011,PG-13,26 Aug 2011,108 min,45.0,6.4,"91,834",tt1657507,"$36,665,854"
313,Catch Me If You Can,Crime,0,2,11,7,9,catch me if you can,0,Catch Me If You Can,2002,PG-13,25 Dec 2002,141 min,75.0,8.1,"790,873",tt0264464,"$164,400,000"
314,Catwoman,Crime,0,0,0,0,0,catwoman,0,Catwoman,2004,PG-13,23 Jul 2004,104 min,27.0,3.4,"108,332",tt0327554,"$40,200,000"
315,Confessions of a Dangerous Mind,Crime,14,2,6,65,15,confessions of a dangerous mind,0,Confessions of a Dangerous Mind,2002,R,24 Jan 2003,113 min,67.0,7.0,"81,717",tt0270288,
316,Black Rain,Crime,8,2,4,1,9,black rain,0,Black Rain,1989,R,22 Sep 1989,125 min,56.0,6.7,"47,914",tt0096933,
317,Casino,Crime,18,9,16,439,56,casino,0,Casino,1995,R,22 Nov 1995,178 min,73.0,8.2,"448,054",tt0112641,
318,Confidence,Crime,15,4,2,52,29,confidence,0,Confidence,2003,R,25 Apr 2003,97 min,59.0,6.7,"32,866",tt0310910,"$12,148,629"
319,BlacKkKlansman,Crime,8,7,11,33,18,blackkklansman,0,BlacKkKlansman,2018,R,10 Aug 2018,135 min,83.0,7.5,"198,998",tt7349662,
320,Bottle Rocket,Crime,3,2,5,36,25,bottle rocket,0,Bottle Rocket,1996,R,21 Feb 1996,91 min,66.0,7.0,"68,099",tt0115734,
321,Burn After Reading,Crime,9,4,3,66,20,burn after reading,0,Burn After Reading,2008,R,12 Sep 2008,96 min,63.0,7.0,"301,770",tt0887883,"$60,338,891"
322,Blow,Crime,5,3,2,91,24,blow,0,Blow,2001,R,06 Apr 2001,124 min,52.0,7.6,"235,080",tt0221027,
323,Big Eyes,Crime,2,2,1,1,3,big eyes,0,Big Eyes,2014,PG-13,25 Dec 2014,106 min,62.0,7.0,"82,916",tt1126590,"$8,021,168"
324,Bad Santa,Crime,24,8,3,137,44,bad santa,0,Bad Santa,2003,R,26 Nov 2003,92 min,70.0,7.0,"131,454",tt0307987,
325,Frequency,Thriller,6,0,5,19,6,frequency,0,Frequency,2000,PG-13,28 Apr 2000,118 min,67.0,7.3,"98,713",tt0186151,
326,Frozen,Thriller,13,1,3,25,32,frozen,0,Frozen,2013,PG,27 Nov 2013,102 min,75.0,7.4,"556,379",tt2294629,"$400,736,600"
327,Fracture,Thriller,3,2,3,2,6,fracture,0,Fracture,2007,R,20 Apr 2007,113 min,68.0,7.2,"181,277",tt0488120,"$39,000,000"
328,Fargo,Thriller,1,1,13,41,4,fargo,0,Fargo,1996,R,05 Apr 1996,98 min,85.0,8.1,"595,812",tt0116282,
329,Fight Club,Thriller,7,5,3,37,12,fight club,0,Fight Club,1999,R,15 Oct 1999,139 min,66.0,8.8,"1,790,247",tt0137523,
330,Face Off,Thriller,4,2,7,15,8,face off,0,Face Off,2011–,TV-PG,26 Jan 2011,44 min,,8.2,"5,969",tt1663641,
331,Entrapment,Thriller,7,2,0,13,12,entrapment,0,Entrapment,1999,PG-13,30 Apr 1999,113 min,54.0,6.3,"104,322",tt0137494,
332,Fatal Instinct,Thriller,1,2,7,0,3,fatal instinct,0,Fatal Instinct,1993,PG-13,29 Oct 1993,91 min,,5.8,"6,623",tt0106873,
333,Dog Day Afternoon,Thriller,4,4,14,42,26,dog day afternoon,0,Dog Day Afternoon,1975,R,25 Dec 1975,125 min,86.0,8.0,"229,397",tt0072890,
334,Enough,Thriller,5,2,1,3,4,enough,0,Enough,2002,PG-13,24 May 2002,115 min,25.0,5.8,"38,277",tt0278435,"$39,177,215"
335,Fair Game,Thriller,2,1,0,22,6,fair game,0,Fair Game,2010,PG-13,03 Dec 2010,108 min,69.0,6.8,"45,694",tt0977855,"$9,528,092"
336,Disturbia,Thriller,12,2,6,2,28,disturbia,0,Disturbia,2007,PG-13,13 Apr 2007,105 min,62.0,6.8,"215,909",tt0486822,"$80,050,171"
337,Die Hard 2,Thriller,22,4,24,44,17,die hard 2,0,Die Hard 2,1990,R,03 Jul 1990,124 min,67.0,7.2,"327,312",tt0099423,
338,Die Hard,Thriller,16,3,18,27,19,die hard,0,Die Hard,1988,R,20 Jul 1988,132 min,72.0,8.2,"763,300",tt0095016,
339,Deep Cover,Thriller,10,7,4,53,26,deep cover,0,Deep Cover,1992,R,15 Apr 1992,107 min,,6.9,"8,392",tt0104073,
340,Enemy of the State,Thriller,5,0,4,32,11,enemy of the state,0,Enemy of the State,1998,R,20 Nov 1998,132 min,67.0,7.3,"222,054",tt0120660,
341,Donnie Brasco,Thriller,9,2,2,210,13,donnie brasco,0,Donnie Brasco,1997,R,28 Feb 1997,127 min,76.0,7.7,"268,559",tt0119008,
342,Wonder Woman,Fantasy,0,0,0,0,0,wonder woman,0,Wonder Woman,2017,PG-13,02 Jun 2017,141 min,76.0,7.4,"531,221",tt0451279,"$412,400,625"
