Film,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Right_Film,Genre,A,B,D,F,S
Freddy vs. Jason,2003,R,15 Aug 2003,97 min,37,5.7,"107,876",tt0329101,"$82,200,000",Freddy vs. Jason,Horror,7,32,10,6,7
Friday the 13th,1980,R,09 May 1980,95 min,22,6.5,"113,868",tt0080761,N/A,Friday the 13th,Mystery,1,0,4,2,4
Friday the 13th Part VIII: Jason Takes Manhattan,1989,R,28 Jul 1989,100 min,14,4.6,"32,248",tt0097388,N/A,Friday the 13th Part VIII: Jason Takes Manhattan,Horror,2,2,3,6,6
Fright Night,2011,R,19 Aug 2011,106 min,64,6.3,"97,730",tt1438176,"$18,298,649",Fright Night,Horror,2,2,2,17,21
Get Low,2009,PG-13,27 Aug 2010,103 min,77,7.0,"21,781",tt1194263,"$9,176,469",Get Low,Mystery,4,7,14,1,3
Get Out,2017,R,24 Feb 2017,104 min,85,7.7,"463,872",tt5052448,"$175,428,355",Get Out,Mystery,4,2,9,31,33
Ghostbusters 2,2014,N/A,16 Sep 2014,17 min,N/A,6.4,5,tt4083432,N/A,Ghostbusters 2,Sci-Fi,0,0,1,0,2
Godfather Part II,1974,R,18 Dec 1974,202 min,90,9.0,"1,087,543",tt0071562,N/A,Godfather Part II,Crime,3,5,8,2,3
Gone Baby Gone,2007,R,19 Oct 2007,114 min,72,7.6,"243,532",tt0452623,"$20,300,218",Gone Baby Gone,Mystery,6,7,2,84,26
Gothika,2003,R,21 Nov 2003,98 min,38,5.8,"104,043",tt0348836,"$59,537,388",Gothika,Mystery,1,2,11,15,6
Gremlins 2,1990,PG-13,15 Jun 1990,106 min,N/A,6.4,"89,769",tt0099700,N/A,Gremlins 2,Horror,1,0,2,0,1
Hanna,2011,PG-13,08 Apr 2011,111 min,65,6.8,"186,310",tt0993842,"$40,200,000",Hanna,Mystery,0,1,0,8,7
Hellraiser: Deader,2005,R,07 Jun 2005,88 min,N/A,4.6,"8,665",tt0337636,N/A,Hellraiser: Deader,Mystery,1,0,4,8,4
Honeydripper,2007,PG-13,09 May 2008,124 min,68,6.6,"1,856",tt0829193,N/A,Honeydripper,Musical,6,0,14,0,1
I Still Know What You Did Last Summer,1998,R,13 Nov 1998,100 min,21,4.7,"66,809",tt0130018,N/A,I Still Know What You Did Last Summer,Mystery,0,0,6,0,0
Inception,2010,PG-13,16 Jul 2010,148 min,74,8.8,"1,980,743",tt1375666,"$292,568,851",Inception,Mystery,2,0,3,0,1
Interview with the Vampire,1994,R,11 Nov 1994,123 min,59,7.6,"287,024",tt0110148,N/A,Interview with the Vampire,Horror,0,0,6,0,5
JFK,1991,R,20 Dec 1991,189 min,72,8.0,"137,118",tt0102138,N/A,JFK,Mystery,6,16,28,50,17
Jimmy and Judy,2006,R,05 Feb 2006,99 min,N/A,6.0,"1,509",tt0425151,N/A,Jimmy and Judy,Action,15,9,7,108,35
Jurassic Park: The Lost World,1997,N/A,N/A,13 min,N/A,7.1,52,tt0369690,N/A,Jurassic Park: The Lost World,Horror,1,1,0,0,1
King Kong,2005,PG-13,14 Dec 2005,187 min,81,7.2,"382,593",tt0360717,"$218,100,000",King Kong,Mystery,0,0,3,0,0
Klute,1971,R,25 Jun 1971,114 min,81,7.1,"21,360",tt0067309,N/A,Klute,Mystery,0,3,3,0,0
L.A. Confidential,1997,R,19 Sep 1997,138 min,90,8.2,"517,644",tt0119488,N/A,L.A. Confidential,Mystery,4,0,6,38,13
La La Land,2016,PG-13,25 Dec 2016,128 min,94,8.0,"481,024",tt3783958,"$151,058,124",La La Land,Musical,2,0,3,3,5
Labyrinth,1986,PG,27 Jun 1986,101 min,50,7.4,"120,325",tt0091369,N/A,Labyrinth,Musical,0,0,6,0,0
Les Miserables,1978,Not Rated,27 Dec 1978,150 min,N/A,7.3,"1,526",tt0077936,N/A,Les Miserables,Musical,0,1,4,0,1
Limitless,2011,PG-13,18 Mar 2011,105 min,59,7.4,"516,481",tt1219289,"$79,230,923",Limitless,Mystery,5,1,1,38,17
