Film,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,A,B,D,F,Genre,S
Red Planet,2000,PG-13,10-Nov-00,106,34,5.7,"54,131",tt0199753,N/A,0,0,0,0,Sci-Fi,0
Red Riding Hood,2011,PG-13,11-Mar-11,100,29,5.5,"105,800",tt1486185,"$37,200,000 ",2,0,1,0,Mystery,0
Reindeer Games,2000,R,25-Feb-00,104,37,5.8,"36,767",tt0184858,N/A,3,2,26,61,Crime,14
Remember Me,2010,PG-13,12-Mar-10,113,40,7.1,"134,448",tt1403981,"$18,242,661 ",13,2,2,3,Romance,10
Repo Man,1984,R,2-Mar-84,92,75,6.9,"32,672",tt0087995,N/A,11,1,22,54,Sci-Fi,36
Reservoir Dogs,1992,R,2-Sep-92,99,79,8.3,"888,475",tt0105236,N/A,31,10,13,200,Crime,67
Resident Evil,2002,R,15-Mar-02,100,33,6.7,"241,735",tt0120804,"$39,532,308 ",8,3,7,16,Horror,29
Revolutionary Road,2008,R,23-Jan-09,119,69,7.3,"190,055",tt0959337,"$22,877,808 ",3,0,12,12,Romance,3
Ringu,1998,Not Rated,31-Jan-98,96,N/A,7.2,"61,624",tt0178868,N/A,0,0,0,0,Mystery,0
Rise of the Guardians,2012,PG,21-Nov-12,97,58,7.3,"152,477",tt1446192,"$98,800,000 ",0,0,0,0,Animation,0
Rise of the Planet of the Apes,2011,PG-13,5-Aug-11,105,68,7.6,"488,681",tt1318514,"$175,300,000 ",4,2,5,0,Sci-Fi,0
RKO 281,1999,R,20-Nov-99,86,N/A,7,"5,558",tt0120801,N/A,1,3,22,26,Drama,12
Robin Hood: Prince of Thieves,1991,PG-13,14-Jun-91,143,51,6.9,"173,748",tt0102798,N/A,2,1,19,0,Adventure,0
RocknRolla,2008,R,31-Oct-08,114,53,7.3,"229,434",tt1032755,"$5,665,302 ",0,0,0,55,Crime,11
Rocky,1976,PG,3-Dec-76,120,70,8.1,"502,081",tt0075148,N/A,2,0,8,2,Romance,0
Romeo & Juliet,1978,TV-14,3-Dec-78,168,N/A,6.8,340,tt0078176,N/A,0,0,0,0,Romance,0
Ronin,1998,R,25-Sep-98,122,67,7.3,"168,282",tt0122690,N/A,7,6,13,35,Crime,12
Room,2015,R,22-Jan-16,118,86,8.1,"351,480",tt3170832,"$14,677,654 ",1,0,1,2,Drama,3
Runaway Bride,1999,PG,30-Jul-99,116,39,5.5,"90,635",tt0163187,N/A,3,0,1,0,Romance,0
Rush,2013,R,27-Sep-13,123,74,8.1,"419,377",tt1979320,"$22,442,876 ",13,0,0,8,Drama,6
Rush Hour,1998,PG-13,18-Sep-98,98,60,7,"232,877",tt0120812,N/A,17,3,23,40,Crime,28
Rush Hour 2,2001,PG-13,3-Aug-01,90,48,6.6,"194,706",tt0266915,N/A,16,1,7,0,Crime,24
Rushmore,1998,R,19-Feb-99,93,86,7.7,"164,730",tt0128445,N/A,0,0,0,0,Romance,0
Rust and Bone,2012,R,17-May-12,120,73,7.5,"62,034",tt2053425,"$1,900,000 ",4,3,1,20,Romance,13
S. Darko,2009,R,21-Aug-09,103,N/A,3.6,"13,023",tt1231277,N/A,7,3,3,37,Mystery,17
Save the Last Dance,2001,PG-13,12-Jan-01,112,53,6.2,"55,963",tt0206275,N/A,26,12,9,32,Romance,56
Saving Mr. Banks,2013,PG-13,20-Dec-13,125,65,7.5,"147,963",tt2140373,"$53,260,198 ",0,0,1,0,Comedy,0
Saving Private Ryan,1998,R,24-Jul-98,169,91,8.6,"1,193,695",tt0120815,N/A,6,5,37,20,War,10
Saw,2004,R,29-Oct-04,103,46,7.6,"369,218",tt0387564,"$55,100,000 ",2,2,2,32,Mystery,16
Scarface,1983,R,9-Dec-83,170,65,8.3,"711,819",tt0086250,"$656,161 ",6,1,3,42,Crime,14
Scary Movie 2,2001,R,4-Jul-01,83,29,5.3,"146,030",tt0257106,N/A,0,0,0,0,Horror,0
Schindler's List,1993,R,4-Feb-94,195,94,8.9,"1,171,229",tt0108052,N/A,0,0,2,5,War,0
Scott Pilgrim vs. the World,2010,PG-13,13-Aug-10,112,69,7.5,"364,263",tt0446029,"$31,494,270 ",21,8,1,12,Fantasy,3
Scream,1996,R,20-Dec-96,111,65,7.2,"276,236",tt0117571,N/A,6,4,5,23,Mystery,23
Scream 2,1997,R,12-Dec-97,120,63,6.2,"152,234",tt0120082,N/A,6,5,1,7,Mystery,23
Scream 3,2000,R,4-Feb-00,116,56,5.6,"120,066",tt0134084,N/A,6,2,10,34,Mystery,29
Se7en,1995,R,22-Sep-95,127,65,8.6,"1,386,280",tt0114369,N/A,1,3,6,49,Mystery,7
Semi-Pro,2008,R,29-Feb-08,91,47,5.8,"77,000",tt0839980,"$33,370,443 ",17,3,8,24,Comedy,28
Sense and Sensibility,1995,PG,26-Jan-96,136,84,7.6,"98,350",tt0114388,N/A,0,1,0,0,Romance,0
Serenity,2005,PG-13,30-Sep-05,119,74,7.8,"278,632",tt0379786,"$25,335,935 ",4,0,3,1,Sci-Fi,2
Serial Mom,1994,R,13-Apr-94,95,64,6.8,"26,154",tt0111127,N/A,2,3,8,9,Horror,4
Sex and the City,2008,R,30-May-08,145,53,5.6,"113,892",tt1000774,"$152,595,674 ",4,1,1,7,Romance,6
Sexual Life,2004,R,19-Jun-04,96,N/A,5,900,tt0376874,N/A,5,1,2,10,Comedy,7
Shakespeare in Love,1998,R,8-Jan-99,123,87,7.1,"209,610",tt0138097,N/A,0,0,2,0,Romance,1
Shallow Grave,1994,R,10-Feb-95,89,67,7.3,"55,486",tt0111149,N/A,0,0,0,5,Crime,1
Shame,2011,NC-17,13-Jan-12,101,72,7.2,"178,488",tt1723811,"$2,971,782 ",10,1,0,68,Drama,6
Shampoo,1975,R,13-Mar-75,109,65,6.3,"10,200",tt0073692,N/A,6,5,5,32,Drama,17
Sherlock Holmes,2009,PG-13,25-Dec-09,128,57,7.6,"570,347",tt0988045,"$208,711,166 ",0,0,0,1,Mystery,2
She's Out of My League,2010,R,12-Mar-10,104,46,6.4,"123,849",tt0815236,"$28,712,974 ",12,7,7,45,Romance,39
Shifty,2008,Unrated,24-Apr-09,85,N/A,6.5,"2,826",tt1104126,N/A,0,0,0,176,Thriller,14
Shivers,1975,R,6-Jul-76,87,58,6.5,"17,029",tt0073705,N/A,0,0,1,0,Horror,0
Shrek,2001,PG,18-May-01,90,84,7.8,"596,311",tt0126029,"$266,982,666 ",2,0,2,0,Animation,0
Shrek the Third,2007,PG,18-May-07,93,58,6.1,"272,550",tt0413267,"$320,706,665 ",0,0,0,0,Animation,0
Sicario,2015,R,2-Oct-15,121,82,7.6,"356,809",tt3397884,N/A,4,1,2,32,Crime,9
Sideways,2004,R,21-Jan-05,127,94,7.5,"175,791",tt0375063,"$71,444,367 ",6,2,6,80,Adventure,16
Signs,2002,PG-13,2-Aug-02,106,59,6.7,"329,663",tt0286106,"$227,935,522 ",3,1,2,0,Horror,1
Silence of the Lambs,2002–,N/A,7-May-02,/,N/A,7.8,11,tt2665218,,2,5,7,11,Horror,8
Silver Bullet,1985,R,11-Oct-85,95,26,6.4,"22,891",tt0090021,N/A,5,1,8,8,Horror,14
Silver Linings Playbook,2012,R,25-Dec-12,122,81,7.7,"647,342",tt1045658,"$132,088,910 ",4,0,5,75,Romance,24
Simone,2013,Not Rated,24-Jun-13,72,N/A,6,46,tt2916440,N/A,0,3,5,0,Sci-Fi,2
Single White Female,1992,R,14-Aug-92,107,63,6.4,"31,211",tt0105414,N/A,1,3,1,6,Thriller,4
Six Degrees of Separation,1993,R,8-Dec-93,112,72,6.8,"19,325",tt0108149,N/A,1,1,2,13,Mystery,3
Sleepless in Seattle,1993,PG,25-Jun-93,105,72,6.8,"153,813",tt0108160,N/A,0,0,0,2,Romance,2
Sleepy Hollow,1999,R,19-Nov-99,105,65,7.3,"320,922",tt0162661,N/A,1,2,10,0,Mystery,0
Sling Blade,1996,R,14-Mar-97,135,84,8,"85,323",tt0117666,N/A,10,7,17,17,Drama,11
Slither,2006,R,31-Mar-06,95,69,6.4,"72,340",tt0439815,"$7,774,730 ",4,3,15,25,Horror,18
Slumdog Millionaire,2008,R,25-Dec-08,120,84,8,"781,199",tt1010048,"$141,243,551 ",0,0,1,2,Romance,11
Smashed,2012,R,14-Dec-12,81,71,6.8,"16,181",tt2063781,"$375,981 ",5,7,4,40,Comedy,17
Smokin' Aces,2006,R,26-Jan-07,108,45,6.7,"135,631",tt0475394,"$35,600,000 ",17,10,13,65,Crime,53
Snatch,2000,R,19-Jan-01,102,55,8.3,"760,412",tt0208092,"$30,093,107 ",1,0,0,155,Crime,9
Snow Falling on Cedars,1999,PG-13,7-Jan-00,127,44,6.7,"13,473",tt0120834,N/A,2,4,3,5,Drama,1
Snow White and the Huntsman,2012,PG-13,1-Jun-12,127,57,6.1,"267,818",tt1735898,"$155,081,785 ",1,0,2,0,Adventure,0
So I Married an Axe Murderer,1993,PG-13,30-Jul-93,93,N/A,6.4,"32,534",tt0108174,N/A,9,4,2,2,Romance,7
Solaris,2002,PG-13,27-Nov-02,99,65,6.2,"77,794",tt0307479,"$14,780,776 ",0,0,1,12,Sci-Fi,1
Soldier,1998,R,23-Oct-98,99,N/A,6,"50,772",tt0120157,N/A,10,1,4,4,Sci-Fi,8
Someone to Watch Over Me,1987,R,9-Oct-87,106,55,6.1,"9,057",tt0094008,N/A,12,1,8,34,Crime,9
Something's Gotta Give,2003,PG-13,12-Dec-03,128,66,6.7,"109,002",tt0337741,"$121,400,000 ",5,2,2,7,Romance,5
Source Code,2011,PG-13,1-Apr-11,93,74,7.5,"473,918",tt0945513,"$54,696,902 ",3,1,5,10,Mystery,6
Space Milkshake,2012,Not Rated,15-Feb-13,85,N/A,6,"1,377",tt1954843,N/A,1,2,3,1,Sci-Fi,1
Spanglish,2004,PG-13,17-Dec-04,131,48,6.4,"76,974",tt0371246,"$42,044,321 ",3,0,10,3,Romance,2
Spare Me,1994,N/A,3-Sep-94,/,N/A,6.7,27,tt0108200,N/A,2,1,0,15,Thriller,3
Spartan,2004,R,12-Mar-04,106,60,6.5,"28,734",tt0360009,"$4,291,858 ",1,6,0,32,Crime,2
Speed Racer,2008,PG,9-May-08,135,37,6,"67,391",tt0811080,"$43,929,341 ",6,0,1,0,Family,0
Sphere,1998,PG-13,13-Feb-98,134,35,6.1,"97,311",tt0120184,N/A,1,1,13,18,Sci-Fi,20
Spider-Man,2002,PG-13,3-May-02,121,73,7.3,"671,651",tt0145487,"$403,706,375 ",2,0,10,0,Sci-Fi,1
St. Elmo's Fire,1985,R,28-Jun-85,110,35,6.4,"34,515",tt0090060,N/A,3,1,5,12,Romance,16
Star Trek,2009,PG-13,8-May-09,127,82,7.9,"569,689",tt0796366,"$257,704,099 ",5,0,16,29,Sci-Fi,6
Star Trek: First Contact,1996,PG-13,22-Nov-96,111,71,7.6,"115,453",tt0117731,N/A,0,0,0,0,Sci-Fi,0
Star Trek: Generations,1994,PG,18-Nov-94,118,55,6.6,"74,325",tt0111280,N/A,0,0,0,0,Sci-Fi,0
Star Trek II: The Wrath of Khan,1982,PG,4-Jun-82,113,67,7.7,"110,150",tt0084726,N/A,0,0,0,0,Sci-Fi,0
Star Trek: Nemesis,2002,PG-13,13-Dec-02,116,51,6.4,"71,988",tt0253754,"$43,056,895 ",1,0,3,0,Sci-Fi,0
Star Trek: The Motion Picture,1979,G,8-Dec-79,132,48,6.4,"79,288",tt0079945,N/A,0,0,3,0,Sci-Fi,0
Starman,1984,PG,14-Dec-84,115,70,7,"41,128",tt0088172,N/A,3,1,9,0,Sci-Fi,10
Starship Troopers,1997,R,7-Nov-97,129,51,7.2,"261,834",tt0120201,N/A,2,3,0,0,Sci-Fi,0
State and Main,2000,R,12-Jan-01,105,75,6.7,"20,113",tt0120202,"$5,770,800 ",4,3,3,6,Comedy,3
Station West,1948,Approved,1-Sep-48,97,N/A,6.6,882,tt0040835,N/A,0,0,0,0,Western,0
Stepmom,1998,PG-13,25-Dec-98,125,58,6.8,"58,507",tt0120686,N/A,3,2,10,13,Comedy,9
Stir of Echoes,1999,R,10-Sep-99,99,67,7,"72,713",tt0164181,N/A,8,3,3,22,Mystery,13
Storytelling,2001,R,8-Nov-01,87,50,6.8,"16,848",tt0250081,"$850,758 ",2,2,1,19,Comedy,6
Straight Outta Compton,2015,R,14-Aug-15,147,72,7.9,"175,063",tt1398426,"$129,402,415 ",40,9,22,161,Drama,159
Strange Days,1995,R,13-Oct-95,145,66,7.2,"65,550",tt0114558,N/A,10,6,17,47,Mystery,30
Strangers on a Train,1951,PG,30-Jun-51,101,88,8,"119,936",tt0044079,N/A,0,0,0,0,Film-Noir,0
Sugar,2008,R,24-Apr-09,114,82,7.2,"4,503",tt0990413,"$1,037,595 ",2,0,3,8,Drama,15
Sugar and Spice,1989–,N/A,6-Apr-89,25,N/A,8.1,23,tt0363379,,17,6,5,9,Comedy,28
Sunset Blvd.,1950,Passed,29-Sep-50,110,N/A,8.4,"193,512",tt0043014,N/A,0,0,0,0,Film-Noir,0
Sunshine Cleaning,2008,R,17-Apr-09,91,61,6.8,"68,621",tt0862846,"$12,033,702 ",4,0,7,15,Comedy,21
Super 8,2011,PG-13,10-Jun-11,112,72,7,"332,405",tt1650062,"$126,975,169 ",5,2,5,8,Mystery,17
Superbad,2007,R,17-Aug-07,113,76,7.6,"508,694",tt0829482,"$121,463,226 ",28,16,4,123,Comedy,71
Supergirl,2015–,TV-PG,26-Oct-15,43,N/A,6.3,"106,927",tt4016454,,1,1,0,0,Sci-Fi,0
Surrogates,2009,PG-13,25-Sep-09,89,45,6.3,"167,007",tt0986263,"$38,542,418 ",7,2,8,0,Sci-Fi,2
Suspect Zero,2004,R,27-Aug-04,99,37,5.8,"18,572",tt0324127,"$8,570,393 ",4,0,3,31,Horror,13
Sweet Smell of Success,1957,Approved,4-Jul-57,96,100,8.1,"26,523",tt0051036,N/A,0,0,0,0,Film-Noir,0
Swingers,1996,R,11-Apr-97,96,71,7.2,"73,586",tt0117802,N/A,19,26,3,26,Comedy,25
Swordfish,2001,R,8-Jun-01,99,32,6.5,"173,365",tt0244244,N/A,11,2,2,29,Thriller,18
Syriana,2005,R,9-Dec-05,128,76,6.9,"123,836",tt0365737,"$50,800,000 ",4,0,8,19,Thriller,12
Take Shelter,2011,R,10-Nov-11,120,85,7.4,"88,699",tt1675192,"$1,600,000 ",1,2,1,4,Thriller,10
Taking Lives,2004,R,19-Mar-04,103,38,6.3,"78,540",tt0364045,"$32,634,479 ",7,2,3,8,Horror,11
Taking Sides,2001,Not Rated,7-Mar-02,108,61,7.2,"2,993",tt0260414,N/A,0,0,3,8,Drama,6
Tall in the Saddle,1944,Approved,29-Sep-44,87,N/A,7,"2,719",tt0037343,N/A,0,0,0,0,Western,0
Tamara Drewe,2010,R,10-Sep-10,107,64,6.2,"20,168",tt1486190,"$560,101 ",2,2,3,42,Romance,15
Taxi Driver,1976,R,9-Feb-76,114,94,8.3,"695,384",tt0075314,N/A,5,2,11,23,Crime,8
Ted,2012,R,29-Jun-12,106,62,6.9,"559,475",tt1637725,"$218,100,000 ",18,1,1,73,Fantasy,45
Terminator,1991,N/A,N/A,39,N/A,6.1,27,tt5817168,N/A,3,1,4,9,Sci-Fi,4
Terminator Salvation,2009,PG-13,21-May-09,115,49,6.5,"337,037",tt0438488,"$125,286,889 ",3,1,7,2,Sci-Fi,6
The Rage: Carrie 2,1999,R,12-Mar-99,104,42,4.7,"15,199",tt0144814,N/A,3,5,4,6,Horror,11
Thelma & Louise,1991,R,24-May-91,130,88,7.5,"131,689",tt0103074,N/A,15,6,38,18,Crime,44
There's Something About Mary,1998,R,15-Jul-98,119,69,7.1,"284,946",tt0129387,N/A,9,6,6,60,Romance,29
They,2002,PG-13,27-Nov-02,89,31,4.8,"12,153",tt0283632,"$12,575,046 ",0,0,0,0,Horror,0
Thirteen Days,2000,PG-13,12-Jan-01,145,67,7.3,"52,749",tt0146309,N/A,11,3,16,8,Drama,16
This Boy's Life,1993,R,23-Apr-93,115,60,7.3,"45,100",tt0108330,N/A,6,3,13,12,Drama,10
This Is 40,2012,R,21-Dec-12,134,59,6.2,"124,171",tt1758830,"$65,200,000 ",14,8,6,63,Comedy,17
Thor,2011,PG-13,6-May-11,115,57,7,"725,928",tt0800369,"$181,015,141 ",1,0,2,0,Fantasy,0
Thor: Ragnarok,2017,PG-13,3-Nov-17,130,74,7.9,"555,646",tt3501632,"$314,971,245 ",6,1,2,0,Adventure,3
Three Kings,1999,R,1-Oct-99,114,82,7.1,"157,590",tt0120188,N/A,14,1,10,43,War,28
Three Men and a Baby,1987,PG,25-Nov-87,102,61,6,"46,024",tt0094137,N/A,30,9,29,11,Family,39
Thunderbirds,2004,PG,30-Jul-04,95,36,4.2,"12,891",tt0167456,"$6,768,055 ",1,0,2,0,Adventure,0
Thunderheart,1992,R,3-Apr-92,119,N/A,6.8,"13,569",tt0105585,N/A,11,2,11,37,Mystery,26
Ticker,2001,R,23-Jun-01,92,N/A,3.6,"6,489",tt0196158,N/A,1,2,2,15,Crime,11
Timber Falls,2007,R,23-May-08,100,N/A,5.2,"5,721",tt0857295,N/A,5,5,6,34,Horror,7
Tin Cup,1996,R,16-Aug-96,135,60,6.4,"45,017",tt0117918,N/A,23,2,14,15,Romance,25
Tin Men,1987,R,13-Mar-87,112,75,6.5,"7,527",tt0094155,N/A,15,15,17,27,Comedy,15
Tinker Tailor Soldier Spy,2011,R,6-Jan-12,122,85,7.1,"182,286",tt1340800,"$20,200,000 ",0,0,10,9,Mystery,0
Titanic,1997,PG-13,19-Dec-97,194,75,7.8,"1,015,018",tt0120338,N/A,1,2,17,2,Romance,10
TMNT,2007,PG,23-Mar-07,103,41,6.2,"60,242",tt0453556,"$54,132,596 ",4,0,0,0,Animation,0
To Sleep with Anger,1990,PG,12-Oct-90,102,N/A,7.3,"1,640",tt0100791,N/A,4,0,11,0,Drama,0
Tombstone,1993,R,25-Dec-93,130,50,7.8,"122,147",tt0108358,N/A,4,5,27,1,Western,1
Tomorrow Never Dies,1997,PG-13,19-Dec-97,119,52,6.5,"176,993",tt0120347,N/A,1,0,7,0,Adventure,0
Top Gun,1986,PG,16-May-86,110,50,6.9,"283,087",tt0092099,N/A,3,6,14,0,Drama,11
Total Recall,1990,R,1-Jun-90,113,57,7.5,"291,951",tt0100802,"$119,000,000 ",0,1,0,2,Sci-Fi,4
Toy Story,1995,G,22-Nov-95,81,95,8.3,"857,038",tt0114709,N/A,0,0,0,0,Animation,0
Traffic,2000,R,5-Jan-01,147,86,7.6,"192,068",tt0181865,"$123,836,420 ",1,0,3,48,Crime,17
Training Day,2001,R,5-Oct-01,122,69,7.7,"378,654",tt0139654,N/A,44,11,6,121,Thriller,104
Trainspotting,1996,R,9-Aug-96,93,83,8.1,"619,568",tt0117951,N/A,0,0,0,104,Drama,5
Tremors,1990,PG-13,19-Jan-90,96,65,7.1,"116,480",tt0100814,N/A,20,12,48,9,Horror,8
Tristan and Isolde,1981,N/A,15-Jan-82,84,N/A,6.6,71,tt0089146,N/A,0,0,0,0,Romance,0
TRON,1982,PG,9-Jul-82,96,58,6.8,"110,680",tt0084827,N/A,0,0,2,0,Sci-Fi,0
TRON: Legacy,2010,PG,17-Dec-10,125,49,6.8,"307,359",tt1104001,"$172,051,787 ",0,0,2,0,Sci-Fi,0
Tropic Thunder,2008,R,13-Aug-08,107,71,7,"369,925",tt0942385,"$110,416,702 ",15,5,2,25,War,23
True Grit,2010,PG-13,22-Dec-10,110,80,7.6,"301,962",tt1403865,"$171,031,347 ",1,3,9,0,Western,0
True Lies,1994,R,15-Jul-94,141,63,7.2,"231,028",tt0111503,N/A,2,14,10,3,Romance,17
True Romance,1993,R,10-Sep-93,119,59,7.9,"199,873",tt0108399,N/A,0,0,0,0,Romance,0
Twilight,2008,PG-13,21-Nov-08,122,56,5.2,"412,755",tt1099212,"$191,449,475 ",1,0,0,0,Romance,0
Twin Peaks,1990–1991,TV-MA,8-Apr-90,47,N/A,8.8,"167,193",tt0098936,,1,0,6,3,Mystery,5
Twins,1988,PG,9-Dec-88,107,53,6.1,"109,641",tt0096320,N/A,3,1,4,1,Sci-Fi,19
Two for the Money,2005,R,7-Oct-05,122,50,6.3,"42,584",tt0417217,"$22,862,049 ",16,6,12,104,Thriller,22
U Turn,1997,R,3-Oct-97,125,54,6.8,"48,185",tt0120399,N/A,17,15,23,63,Thriller,27
Unbreakable,2000,PG-13,22-Nov-00,106,62,7.3,"377,826",tt0217869,"$95,000,000 ",3,1,2,1,Fantasy,4
Under Fire,1983,R,21-Oct-83,128,N/A,7,"6,556",tt0086510,N/A,4,2,7,29,Drama,4
Unknown,2011,PG-13,18-Feb-11,113,56,6.8,"243,834",tt1401152,"$63,677,735 ",0,2,3,2,Mystery,2
Up,2009,PG,29-May-09,96,88,8.2,"904,824",tt1049413,"$292,979,556 ",0,0,0,0,Animation,0
Up in the Air,2009,R,23-Dec-09,109,83,7.4,"312,450",tt1193138,"$83,775,048 ",8,0,0,28,Romance,10
V for Vendetta,2005,R,17-Mar-06,132,62,8.2,"1,002,654",tt0434409,"$70,500,000 ",1,1,11,8,Sci-Fi,2
Valkyrie,2008,PG-13,25-Dec-08,121,56,7.1,"223,731",tt0985699,"$82,989,109 ",0,1,5,5,War,4
Vanilla Sky,2001,R,14-Dec-01,136,45,6.9,"242,934",tt0259711,N/A,2,2,0,33,Mystery,7
Very Bad Things,1998,R,25-Nov-98,100,31,6.4,"44,249",tt0124198,N/A,8,2,6,66,Thriller,11
Virtuosity,1995,R,4-Aug-95,106,39,5.6,"27,248",tt0114857,N/A,8,8,2,7,Sci-Fi,7
Wag the Dog,1997,R,9-Jan-98,97,73,7.2,"77,317",tt0120885,N/A,1,0,2,8,Comedy,5
Walking Tall,2004,PG-13,2-Apr-04,86,44,6.3,"69,155",tt0351977,"$45,860,039 ",3,1,0,1,Thriller,1
Wall Street,1987,R,11-Dec-87,126,56,7.4,"139,830",tt0094291,N/A,7,10,10,3,Crime,6
Wall Street: Money Never Sleeps,2010,PG-13,24-Sep-10,133,59,6.2,"96,388",tt1027718,"$52,474,616 ",6,3,3,35,Drama,12
Wanted,2008,R,27-Jun-08,110,64,6.7,"353,077",tt0493464,"$134,294,280 ",10,5,17,23,Crime,14
War for the Planet of the Apes,2017,PG-13,14-Jul-17,140,82,7.4,"220,013",tt3450958,"$146,872,826 ",0,0,0,1,Adventure,1
War Horse,2011,PG-13,25-Dec-11,146,72,7.2,"143,515",tt1568911,"$79,883,359 ",0,0,1,0,War,0
War of the Worlds,2005,PG-13,29-Jun-05,116,73,6.5,"405,645",tt0407304,"$234,141,872 ",2,0,3,0,Sci-Fi,6
Warm Springs,2005,Not Rated,30-Apr-05,121,N/A,7.5,"2,473",tt0423510,N/A,0,3,13,0,Drama,0
Warrior,2011,PG-13,9-Sep-11,140,71,8.2,"423,944",tt1291584,"$13,600,000 ",1,3,3,1,Drama,14
Watchmen,2009,R,6-Mar-09,162,56,7.6,"487,586",tt0409459,"$107,453,620 ",3,3,12,0,Sci-Fi,6
Water for Elephants,2011,PG-13,22-Apr-11,120,52,6.9,"109,237",tt1067583,"$58,700,247 ",3,1,9,1,Romance,7
We Own the Night,2007,R,12-Oct-07,117,59,6.8,"83,351",tt0498399,"$27,600,000 ",5,1,5,65,Crime,15
What About Bob?,1991,PG,17-May-91,99,60,7,"60,767",tt0103241,N/A,6,4,1,0,Comedy,3
What Lies Beneath,2000,PG-13,21-Jul-00,130,51,6.6,"115,116",tt0161081,"$155,018,556 ",3,3,1,4,Mystery,3
When a Stranger Calls,2006,PG-13,3-Feb-06,87,27,5.1,"42,023",tt0455857,"$47,860,214 ",0,0,3,1,Horror,0
While She Was Out,2008,R,26-Mar-09,86,40,4.8,"6,285",tt0887971,N/A,12,12,4,5,Crime,12
White Squall,1996,PG-13,2-Feb-96,129,53,6.6,"20,658",tt0118158,N/A,1,7,8,6,Adventure,9
Whiteout,2009,R,11-Sep-09,101,N/A,5.5,"36,710",tt0365929,"$10,300,000 ",4,4,7,3,Mystery,7
Who Framed Roger Rabbit,1988,PG,22-Jun-88,104,83,7.7,"177,122",tt0096438,N/A,1,2,6,0,Family,1
Who's Your Daddy?,2002,R,20-Jan-04,105,N/A,4.7,"4,295",tt0287138,N/A,6,0,1,3,Comedy,4
Wild at Heart,1990,R,17-Aug-90,125,52,7.2,"80,227",tt0100935,N/A,7,4,9,38,Romance,20
Wild Hogs,2007,PG-13,2-Mar-07,100,27,5.8,"112,516",tt0486946,"$168,213,584 ",20,8,9,0,Adventure,12
Wild Things,1998,R,20-Mar-98,108,52,6.5,"105,203",tt0120890,N/A,9,6,4,22,Crime,27
Wild Things: Diamonds in the Rough,2005,R,19-Feb-05,87,N/A,4.5,"4,528",tt0448179,N/A,5,10,10,16,Mystery,14
Wild Wild West,1999,PG-13,30-Jun-99,106,38,4.9,"150,148",tt0120891,N/A,9,0,11,1,Western,5
Willow,1988,PG,20-May-88,126,47,7.3,"98,271",tt0096446,N/A,0,0,0,0,Fantasy,0
Win Win,2011,R,15-Apr-11,106,75,7.1,"52,319",tt1606392,"$10,100,000 ",3,0,3,19,Comedy,32
Wind Chill,2007,R,3-Aug-07,91,52,5.8,"21,423",tt0486051,N/A,7,0,4,1,Horror,10
Witness,1985,R,8-Feb-85,112,76,7.4,"83,584",tt0090329,N/A,1,2,6,3,Romance,6
Wonder Boys,2000,R,25-Feb-00,107,73,7.3,"60,120",tt0185014,N/A,3,1,6,14,Comedy,14
Wonder Woman,2017,PG-13,2-Jun-17,141,76,7.4,"531,221",tt0451279,"$412,400,625 ",0,0,0,0,Fantasy,0
X-Men,2000,PG-13,14-Jul-00,104,64,7.4,"559,246",tt0120903,"$156,164,829 ",1,0,1,0,Sci-Fi,0
X-Men Origins: Wolverine,2009,PG-13,1-May-09,107,40,6.6,"457,050",tt0458525,"$179,737,340 ",2,1,6,0,Sci-Fi,0
xXx,2002,PG-13,9-Aug-02,124,48,5.9,"171,012",tt0295701,"$141,134,092 ",11,6,8,0,Adventure,19
Year One,2009,PG-13,19-Jun-09,97,34,4.9,"90,154",tt1045778,"$43,337,279 ",9,0,2,1,Adventure,5
Yes Man,2008,PG-13,19-Dec-08,104,46,6.8,"327,362",tt1068680,"$97,600,000 ",2,3,2,2,Romance,10
You Can Count on Me,2000,R,22-Dec-00,111,85,7.5,"27,273",tt0203230,"$8,409,329 ",4,1,4,15,Drama,16
Youth in Revolt,2009,R,8-Jan-10,90,63,6.4,"71,723",tt0403702,"$15,150,933 ",7,0,5,5,Romance,5
You've Got Mail,1998,PG,18-Dec-98,119,57,6.6,"188,515",tt0128853,N/A,1,1,2,4,Romance,5
Zero Dark Thirty,2012,R,11-Jan-13,157,95,7.4,"264,319",tt1790885,"$95,720,716 ",4,1,1,45,Thriller,7
Zerophilia,2005,N/A,13-Oct-06,90,41,6.2,"2,176",tt0421090,N/A,8,3,7,15,Romance,5
Zootopia,2016,PG,4-Mar-16,108,78,8,"416,353",tt2948356,"$341,264,012 ",0,0,0,0,Animation,0
28 Days Later,2002,R,27-Jun-03,113 min,73,7.6,"367,331",tt0289043,"$44,900,469 ",0,0,0,48,Horror,12
8MM,1999,R,26-Feb-99,123 min,19,6.5,"120,927",tt0134273,N/A,2,1,1,52,Mystery,8
A Dry White Season,1989,R,20-Sep-89,106 min,68,7,"4,806",tt0097243,N/A,0,0,4,3,Thriller,7
A Few Good Men,1992,R,11-Dec-92,138 min,62,7.7,"227,719",tt0104257,N/A,5,1,10,13,Mystery,14
A Nightmare on Elm Street,1984,R,16-Nov-84,91 min,76,7.5,"198,579",tt0087800,N/A,4,0,8,11,Mystery,8
