Film,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,A,B,D,F,Genre,S
American Hustle,2013,R,20-Dec-13,138,90,7.2,"437,260",tt1800241,"$99,165,609 ",2,4,5,99,Crime,32
American Madness,1932,Passed,15-Aug-32,75,N/A,7.4,"1,739",tt0022626,N/A,0,0,0,0,Drama,0
American Milkshake,2013,R,20-Jan-13,83,30,4.8,309,tt2254364,N/A,10,0,9,26,Comedy,22
American Pie,1999,R,9-Jul-99,95,58,7,"367,618",tt0163651,N/A,6,0,9,33,Comedy,29
American Sniper,2014,R,16-Jan-15,133,72,7.3,"426,179",tt2179136,"$274,377,268 ",20,3,3,60,Drama,28
American Splendor,2003,R,12-Sep-03,101,90,7.4,"46,666",tt0305206,"$5,977,550 ",6,2,9,3,Drama,18
Amour,2012,PG-13,20-Sep-12,127,94,7.9,"90,346",tt1602620,"$6,700,000 ",0,0,0,1,Romance,0
An Education,2009,PG-13,5-Feb-10,100,85,7.3,"126,214",tt1174732,"$12,512,069 ",1,0,0,0,Drama,0
Analyze That,2002,R,6-Dec-02,96,37,5.9,"81,023",tt0289848,"$32,070,920 ",8,3,2,74,Crime,24
Analyze This,1999,R,5-Mar-99,103,61,6.7,"143,019",tt0122933,N/A,8,2,7,56,Crime,22
Angel Eyes,2001,R,18-May-01,102,39,5.6,"22,124",tt0225071,N/A,9,3,11,1,Romance,13
Anna Karenina,2012,R,7-Sep-12,129,63,6.6,"89,166",tt1781769,"$12,802,907 ",0,0,3,0,Drama,0
Annie Hall,1977,PG,20-Apr-77,93,92,8,"246,741",tt0075686,N/A,2,0,1,0,Romance,1
Anonymous,2011,PG-13,28-Oct-11,130,50,6.9,"38,807",tt1521197,"$4,463,292 ",1,0,2,0,Thriller,0
Antitrust,2001,PG-13,12-Jan-01,108,31,6.1,"28,082",tt0218817,"$10,965,209 ",3,0,2,1,Thriller,5
Antz,1998,PG,2-Oct-98,83,72,6.5,"143,658",tt0120587,N/A,1,0,2,0,Fantasy,0
Apollo 13,1995,PG,30-Jun-95,140,77,7.6,"259,692",tt0112384,N/A,0,0,0,0,Adventure,0
Apt Pupil,1998,R,23-Oct-98,111,51,6.7,"35,097",tt0118636,N/A,0,0,1,1,Thriller,0
Arbitrage,2012,R,14-Sep-12,107,73,6.6,"48,611",tt1764183,"$7,918,283 ",4,1,5,61,Thriller,5
Arcade,1993,R,30-Mar-94,85,N/A,4.7,"1,442",tt0106302,N/A,1,0,1,20,Sci-Fi,14
Arctic Blue,1993,R,N/A,95,N/A,5.1,782,tt0106303,N/A,7,4,22,27,Thriller,18
Argo,2012,R,12-Oct-12,120,86,7.7,"559,601",tt1024648,"$136,019,448 ",1,1,5,24,Thriller,4
Armageddon,1998,PG-13,1-Jul-98,151,42,6.7,"387,888",tt0120591,N/A,15,4,12,4,Sci-Fi,14
Arsenic and Old Lace,1944,Not Rated,23-Sep-44,118,N/A,8,"63,845",tt0036613,N/A,0,0,0,0,Crime,0
Arthur,2011,PG-13,8-Apr-11,110,36,5.7,"50,207",tt1334512,"$29,200,000 ",5,2,1,8,Comedy,15
As Good as It Gets,1997,PG-13,25-Dec-97,139,67,7.7,"268,254",tt0119822,N/A,4,3,2,5,Romance,4
Assassins,1995,R,6-Oct-95,132,N/A,6.3,"75,979",tt0112401,N/A,5,5,5,64,Thriller,31
At First Sight,1999,PG-13,15-Jan-99,128,40,6,"12,687",tt0132512,N/A,0,0,0,0,Drama,0
August: Osage County,2013,R,10-Jan-14,121,58,7.2,"82,453",tt1322269,"$29,202,643 ",12,5,32,38,Drama,25
Austin Powers: International Man of Mystery,1997,PG-13,2-May-97,89,51,7,"216,258",tt0118655,N/A,2,0,4,0,Comedy,1
Austin Powers: The Spy Who Shagged Me,1999,PG-13,11-Jun-99,95,59,6.6,"212,319",tt0145660,N/A,12,1,3,0,Comedy,5
Authors Anonymous,2014,PG-13,18-Mar-14,92,16,4.3,"1,974",tt2114461,N/A,1,0,6,0,Comedy,3
Autumn in New York,2000,PG-13,11-Aug-00,103,24,5.7,"24,293",tt0174480,N/A,4,2,8,1,Romance,5
Avatar,2009,PG-13,18-Dec-09,162,83,7.8,"1,095,138",tt0499549,"$749,700,000 ",10,8,14,1,Sci-Fi,14
Awakenings,1990,PG-13,11-Jan-91,121,74,7.8,"119,327",tt0099077,N/A,0,0,0,0,Drama,0
Babel,2006,R,10-Nov-06,143,69,7.4,"283,859",tt0449467,"$34,237,104 ",7,1,7,21,Thriller,6
Bachelor Party,1984,R,29-Jun-84,105,56,6.3,"34,617",tt0086927,N/A,12,3,3,2,Comedy,21
Bad Boys,1995,R,7-Apr-95,119,41,6.9,"233,204",tt0112442,N/A,21,4,6,64,Comedy,30
Bad Country,2014,R,29-Apr-14,95,N/A,5.8,"7,866",tt2350892,N/A,7,3,10,83,Crime,21
Bad Lieutenant,1992,NC-17,17-Dec-92,96,70,7.1,"37,481",tt0103759,N/A,5,2,3,68,Crime,21
