,Film,Genre,A,B,D,F,S,Unnamed: 0,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice
123,man on the moon,Comedy,6,0,3,6,6,0.0,1999,R,22 Dec 1999,118 min,58.0,7.4,"121,427",tt0125664,
124,malibu's most wanted,Comedy,37,17,30,1,7,0.0,2003,PG-13,18 Apr 2003,86 min,43.0,5.1,"18,248",tt0328099,"$34,308,901"
125,living in oblivion,Comedy,8,0,5,47,13,0.0,1995,R,21 Jul 1995,90 min,81.0,7.5,"15,918",tt0113677,
126,kids,Drama,9,12,2,99,42,0.0,1995,Unrated,01 Sep 1995,91 min,63.0,7.1,"71,099",tt0113540,
127,"help, the",Drama,1,0,9,0,7,,,,,,,,,,
128,hesher,Drama,8,2,0,98,24,0.0,2010,R,25 Jun 2011,106 min,45.0,7.0,"49,780",tt1403177,"$300,000"
129,legally blonde,Comedy,13,5,3,2,3,0.0,2001,PG-13,13 Jul 2001,96 min,59.0,6.3,"178,156",tt0250494,"$95,001,351"
130,life,Comedy,13,10,28,19,16,0.0,2017,R,24 Mar 2017,104 min,54.0,6.6,"199,775",tt5442430,"$30,180,466"
131,life as a house,Comedy,4,1,2,16,11,0.0,2001,R,09 Nov 2001,125 min,45.0,7.5,"42,248",tt0264796,"$15,412,701"
132,little athens,Comedy,41,11,1,136,79,0.0,2005,R,01 Jun 2005,103 min,,5.6,902,tt0417907,
133,le diable par la queue,Comedy,0,0,0,0,0,,,,,,,,,,
134,gladiator,Drama,1,0,7,0,1,0.0,2000,R,05 May 2000,155 min,67.0,8.5,"1,295,815",tt0172495,
135,glengarry glen gross,Drama,17,0,6,147,42,,,,,,,,,,
136,get on up,Drama,6,1,4,9,20,0.0,2014,PG-13,01 Aug 2014,139 min,71.0,6.9,"20,086",tt2473602,"$22,838,662"
137,gods and monsters,Drama,4,2,7,11,5,0.0,1998,R,04 Nov 1998,105 min,74.0,7.4,"28,694",tt0120684,
138,"grapes of wrath, the",Drama,0,0,0,0,0,,,,,,,,,,
139,"invention of lying, the",Comedy,7,3,3,21,8,,,,,,,,,,
