,Film,Genre,A,B,D,F,S,Unnamed: 0,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice
692,arbitrage,Thriller,4,1,5,61,5,0.0,2012,R,14 Sep 2012,107 min,73.0,6.6,"48,611",tt1764183,"$7,918,283"
693,"crow: city of angels, the",Fantasy,5,4,4,21,4,,,,,,,,,,
694,anonymous,Thriller,1,0,2,0,0,0.0,2011,PG-13,28 Oct 2011,130 min,50.0,6.9,"38,807",tt1521197,"$4,463,292"
695,apt pupil,Thriller,0,0,1,1,0,0.0,1998,R,23 Oct 1998,111 min,51.0,6.7,"35,097",tt0118636,
696,american history x,Thriller,25,11,8,161,54,0.0,1998,R,20 Nov 1998,119 min,62.0,8.5,"1,005,357",tt0120586,
697,arctic blue,Thriller,7,4,22,27,18,0.0,1993,R,,95 min,,5.1,782,tt0106303,
698,antitrust,Thriller,3,0,2,1,5,0.0,2001,PG-13,12 Jan 2001,108 min,31.0,6.1,"28,082",tt0218817,"$10,965,209"
699,coraline,Fantasy,0,0,0,0,0,0.0,2009,PG,06 Feb 2009,100 min,80.0,7.7,"189,288",tt0327597,"$75,169,351"
700,15 minutes,Thriller,4,0,3,28,16,0.0,2001.0,R,09 Mar 2001,120 min,34.0,6.1,"47,723",tt0179626,"$24,160,216"
701,127 hours,Thriller,3,0,1,18,6,0.0,2010.0,R,28 Jan 2011,94 min,82.0,7.6,"339,139",tt1542344,"$18,329,466"
702,48 hrs.,Thriller,33,8,28,26,53,0.0,1982,R,08 Dec 1982,96 min,71.0,6.9,"66,938",tt0083511,
703,air force one,Thriller,6,1,14,13,10,0.0,1997,R,25 Jul 1997,124 min,61.0,6.5,"175,705",tt0118571,
704,absolute power,Thriller,6,1,6,11,11,0.0,1997,R,14 Feb 1997,121 min,52.0,6.7,"49,030",tt0118548,
705,conan the barbarian,Fantasy,1,0,1,0,1,0.0,1982,R,14 May 1982,129 min,43.0,6.9,"134,342",tt0082198,
706,all the president's men,Thriller,1,1,19,25,15,0.0,1976,PG,09 Apr 1976,138 min,84.0,8.0,"98,744",tt0074119,
707,"chronicles of narnia: the lion, the witch and the wardrobe",Fantasy,0,0,0,0,0,,,,,,,,,,
708,clash of the titans,Fantasy,0,0,1,0,1,0.0,2010,PG-13,02 Apr 2010,106 min,39.0,5.8,"266,023",tt0800320,"$163,100,000"
709,christ complex,Fantasy,5,0,2,30,1,0.0,2012,NOT RATED,06 Oct 2012,76 min,,6.5,22,tt2416048,
710,beasts of the southern wild,Fantasy,6,0,5,1,3,0.0,2012,PG-13,05 Jul 2012,93 min,86.0,7.3,"79,506",tt2125435,"$12,784,397"
711,cirque du freak: the vampire's assistant,Fantasy,0,0,0,0,0,0.0,2009,PG-13,23 Oct 2009,109 min,43.0,5.8,"42,495",tt0450405,"$13,838,130"
712,being john malkovich,Fantasy,1,2,13,14,14,0.0,1999,R,03 Dec 1999,113 min,90.0,7.7,"301,611",tt0120601,
713,big,Fantasy,2,0,7,1,2,0.0,1988,PG,03 Jun 1988,104 min,73.0,7.3,"191,523",tt0094737,
714,being human,Fantasy,0,0,1,3,1,0.0,2011–2014,TV-14,17 Jan 2011,44 min,,7.5,"23,849",tt1595680,
715,big fish,Fantasy,3,3,3,0,4,0.0,2003,PG-13,09 Jan 2004,125 min,58.0,8.0,"406,074",tt0319061,"$66,257,002"
716,"butterfly effect, the",Fantasy,12,2,7,41,23,,,,,,,,,,
717,twilight: new moon,Horror,1,0,8,0,0,,,,,,,,,,
718,antz,Fantasy,1,0,2,0,0,0.0,1998,PG,02 Oct 1998,83 min,72.0,6.5,"143,658",tt0120587,
719,when a stranger calls,Horror,0,0,3,1,0,0.0,2006,PG-13,03 Feb 2006,87 min,27.0,5.1,"42,023",tt0455857,"$47,860,214"
720,batman,Fantasy,1,1,2,1,3,0.0,1989,PG-13,23 Jun 1989,126 min,69.0,7.5,"329,552",tt0096895,
721,wind chill,Horror,7,0,4,1,10,0.0,2007,R,03 Aug 2007,91 min,52.0,5.8,"21,423",tt0486051,
722,the rage: carrie 2,Horror,3,5,4,6,11,0.0,1999,R,12 Mar 1999,104 min,42.0,4.7,"15,199",tt0144814,
723,timber falls,Horror,5,5,6,34,7,0.0,2007,R,23 May 2008,100 min,,5.2,"5,721",tt0857295,
724,they,Horror,0,0,0,0,0,0.0,2002,PG-13,27 Nov 2002,89 min,31.0,4.8,"12,153",tt0283632,"$12,575,046"
725,batman 2,Fantasy,0,0,0,0,0,,,,,,,,,,
726,"thing, the",Horror,8,2,28,9,18,,,,,,,,,,
727,tremors,Horror,20,12,48,9,8,0.0,1990,PG-13,19 Jan 1990,96 min,65.0,7.1,"116,480",tt0100814,
728,taking lives,Horror,7,2,3,8,11,0.0,2004,R,19 Mar 2004,103 min,38.0,6.3,"78,540",tt0364045,"$32,634,479"
729,larry crowne,Romance,5,1,3,1,1,0.0,2011,PG-13,01 Jul 2011,98 min,41.0,6.1,"61,791",tt1583420,"$35,565,975"
730,last chance harvey,Romance,1,0,1,6,4,0.0,2008,PG-13,16 Jan 2009,93 min,57.0,6.6,"20,161",tt1046947,"$14,840,421"
731,kate & leopold,Romance,0,1,1,4,6,0.0,2001,PG-13,25 Dec 2001,118 min,44.0,6.4,"77,364",tt0035423,"$47,095,453"
732,kill your darlings,Romance,1,2,8,11,5,0.0,2013,R,19 Sep 2013,104 min,65.0,6.5,"34,380",tt1311071,"$679,958"
733,jane eyre,Romance,0,0,1,0,0,0.0,2011,PG-13,22 Apr 2011,120 min,76.0,7.3,"78,895",tt1229822,
734,jerry maguire,Romance,4,1,3,21,10,0.0,1996,R,13 Dec 1996,139 min,77.0,7.3,"234,615",tt0116695,
735,it's a wonderful life,Romance,0,0,0,0,0,0.0,1946,Passed,07 Jan 1947,130 min,89.0,8.6,"384,831",tt0038650,
736,it's complicated,Romance,3,1,0,0,1,0.0,2009,R,25 Dec 2009,120 min,57.0,6.5,"84,281",tt1230414,"$112,703,470"
737,juno,Romance,10,3,3,4,8,0.0,2007,PG-13,25 Dec 2007,96 min,81.0,7.4,"481,291",tt0467406,"$143,380,890"
738,labor of love,Romance,2,1,5,2,10,0.0,2020–,,21 May 2020,,,3.0,108,tt12237066,
739,how to lose friends & alienate people,Romance,5,4,0,28,9,0.0,2008,R,03 Oct 2008,110 min,35.0,6.4,"67,038",tt0455538,"$2,458,092"
740,i love you phillip morris,Romance,10,4,6,30,14,0.0,2009,R,07 Jan 2011,98 min,65.0,6.6,"90,006",tt1045772,"$2,026,852"
741,intolerable cruelty,Romance,12,2,6,2,6,0.0,2003,PG-13,10 Oct 2003,100 min,71.0,6.2,"89,079",tt0138524,"$35,096,190"
742,knocked up,Romance,22,6,3,121,53,0.0,2007,R,01 Jun 2007,129 min,85.0,6.9,"343,267",tt0478311,"$148,734,225"
743,"hudsucker proxy, the",Romance,1,0,3,0,0,,,,,,,,,,
744,hard to kill,Romance,7,11,1,18,12,0.0,1990,R,09 Feb 1990,96 min,41.0,5.8,"26,659",tt0099739,
745,inventing the abbotts,Romance,7,1,7,15,21,0.0,1997,R,04 Apr 1997,110 min,49.0,6.4,"11,311",tt0119381,
746,high fidelity,Romance,14,1,2,65,14,0.0,2000,R,31 Mar 2000,113 min,79.0,7.5,"164,661",tt0146882,
747,hannah and her sisters,Romance,1,0,2,1,0,0.0,1986,PG-13,14 Mar 1986,107 min,90.0,7.9,"64,792",tt0091167,
748,it happened one night,Romance,0,0,0,0,0,0.0,1934,Approved,22 Feb 1934,105 min,87.0,8.1,"90,473",tt0025316,
749,his girl friday,Romance,0,0,0,0,0,0.0,1940,Passed,18 Jan 1940,92 min,,7.9,"51,664",tt0032599,
750,"horse whisperer, the",Romance,1,0,4,1,8,,,,,,,,,,
751,he's just not that into you,Romance,10,0,0,1,21,0.0,2009,PG-13,06 Feb 2009,129 min,47.0,6.4,"158,297",tt1001508,"$93,800,000"
752,groundhog day,Romance,1,0,2,1,1,0.0,1993,PG,12 Feb 1993,101 min,72.0,8.0,"565,244",tt0107048,
753,hall pass,Romance,9,1,1,1,9,0.0,2011,R,25 Feb 2011,105 min,45.0,5.8,"117,950",tt0480687,"$45,045,037"
754,"fault in our stars, the",Romance,5,0,2,3,8,,,,,,,,,,
755,"graduate, the",Romance,0,0,5,0,0,,,,,,,,,,
756,"great gatsby, the",Romance,0,1,5,0,0,,,,,,,,,,
757,grosse point blank,Romance,3,0,6,22,3,,,,,,,,,,
758,ghost,Romance,3,2,14,5,5,0.0,1990,PG-13,13 Jul 1990,127 min,52.0,7.0,"190,146",tt0099653,
759,garden state,Romance,7,7,1,70,30,0.0,2004,R,20 Aug 2004,102 min,67.0,7.4,"204,465",tt0333766,"$26,706,668"
760,grand hotel,Romance,0,0,0,0,0,0.0,1932,Not Rated,11 Sep 1932,112 min,,7.4,"16,495",tt0022958,
761,easy a,Romance,10,5,1,41,11,0.0,2010,PG-13,17 Sep 2010,92 min,72.0,7.0,"348,160",tt1282140,"$58,401,464"
762,"english patient, the",Romance,0,1,0,9,0,,,,,,,,,,
763,date night,Romance,3,3,3,3,9,0.0,2010,PG-13,09 Apr 2010,88 min,56.0,6.3,"149,520",tt1279935,"$98,710,290"
764,"fabulous baker boys, the",Romance,5,0,15,27,9,,,,,,,,,,
765,"family man, the",Romance,2,2,17,1,6,,,,,,,,,,
766,megamind,Sci-Fi,7,2,3,0,6,0.0,2010,PG,05 Nov 2010,95 min,63.0,7.2,"221,105",tt1001526,"$148,244,405"
767,even cowgirls get the blues,Romance,2,3,1,3,8,0.0,1993,R,20 May 1994,95 min,28.0,4.4,"6,950",tt0106834,
768,"matrix, the",Sci-Fi,2,0,9,12,22,,,,,,,,,,
769,men in black 3,Sci-Fi,10,1,11,0,5,0.0,2012,PG-13,25 May 2012,106 min,58.0,6.8,"327,497",tt1409024,"$179,020,854"
770,extract,Romance,18,0,12,2,31,0.0,2009,R,04 Sep 2009,92 min,61.0,6.1,"43,911",tt1225822,"$10,642,511"
771,next,Sci-Fi,5,2,6,0,6,0.0,2007,PG-13,27 Apr 2007,96 min,42.0,6.2,"145,493",tt0435705,"$17,993,461"
772,men in black,Sci-Fi,4,1,12,0,10,0.0,1997,PG-13,02 Jul 1997,98 min,71.0,7.3,"503,621",tt0119654,
773,mission to mars,Sci-Fi,0,2,8,0,3,0.0,2000,PG,10 Mar 2000,114 min,34.0,5.7,"69,016",tt0183523,
774,edward scissorhands,Romance,0,0,4,0,1,0.0,1990,PG-13,14 Dec 1990,105 min,74.0,7.9,"434,782",tt0099487,
775,"matrix reloaded, the",Sci-Fi,9,0,2,30,21,,,,,,,,,,
776,mad max 2: the road warrior,Sci-Fi,0,0,0,0,0,0.0,1981,R,21 May 1982,96 min,77.0,7.6,"162,472",tt0082694,
777,"martian, the",Sci-Fi,3,0,6,3,10,,,,,,,,,,
778,looper,Sci-Fi,3,0,8,29,13,0.0,2012,R,28 Sep 2012,113 min,84.0,7.4,"522,483",tt1276104,"$66,305,045"
779,logan,Sci-Fi,11,1,4,35,19,0.0,2017,R,03 Mar 2017,137 min,77.0,8.1,"619,868",tt3315342,"$226,276,809"
780,judge dredd,Sci-Fi,10,2,6,6,3,0.0,1995,R,30 Jun 1995,96 min,,5.6,"107,979",tt0113492,
781,logan's run,Sci-Fi,0,0,5,0,0,0.0,1976,PG,23 Jun 1976,119 min,53.0,6.8,"50,342",tt0074812,
782,interstellar,Sci-Fi,2,1,2,0,0,0.0,2014,PG-13,07 Nov 2014,169 min,74.0,8.6,"1,424,440",tt0816692,"$158,737,441"
783,"island, the",Sci-Fi,4,0,1,20,4,,,,,,,,,,
784,i am number four,Sci-Fi,2,0,3,1,1,0.0,2011,PG-13,18 Feb 2011,111 min,36.0,6.1,"224,308",tt1464540,"$55,086,029"
785,lost in space,Sci-Fi,1,1,11,0,2,0.0,2018–,TV-PG,13 Apr 2018,60 min,,7.3,"69,373",tt5232792,
786,"i, robot",Sci-Fi,3,0,1,0,4,0.0,2004,PG-13,16 Jul 2004,115 min,59.0,7.1,"487,756",tt0343818,
787,"hitchhiker's guide to the galaxy, the",Sci-Fi,2,0,2,0,1,,,,,,,,,,
788,ghostbusters,Sci-Fi,0,0,0,0,0,0.0,1984,PG,08 Jun 1984,105 min,71.0,7.8,"344,050",tt0087332,
789,hot tub time machine,Sci-Fi,11,1,6,57,23,0.0,2010,R,26 Mar 2010,101 min,63.0,6.4,"159,298",tt1231587,"$48,925,682"
790,her,Sci-Fi,3,1,0,32,6,0.0,2013,R,10 Jan 2014,126 min,90.0,8.0,"518,386",tt1798709,"$17,901,029"
791,godzilla,Sci-Fi,0,1,11,0,2,0.0,2014,PG-13,16 May 2014,123 min,62.0,6.4,"368,029",tt0831387,"$172,962,996"
792,gravity,Sci-Fi,0,1,2,0,7,0.0,2013,PG-13,04 Oct 2013,91 min,96.0,7.7,"749,518",tt1454468,"$274,084,951"
793,ghostbusters 2,Sci-Fi,0,0,1,0,2,,,,,,,,,,
794,highlander: endgame,Sci-Fi,0,0,0,0,0,0.0,2000,R,01 Sep 2000,87 min,21.0,4.6,"19,029",tt0144964,
795,"incredibles, the",Sci-Fi,0,0,0,0,0,,,,,,,,,,
796,independence day,Sci-Fi,4,2,12,3,5,0.0,1996,PG-13,03 Jul 1996,145 min,59.0,7.0,"516,789",tt0116629,
797,gamer,Sci-Fi,12,6,12,33,36,0.0,2009,R,04 Sep 2009,95 min,27.0,5.8,"128,252",tt1034032,"$20,488,579"
798,sweet smell of success,Film-Noir,0,0,0,0,0,0.0,1957,Approved,04 Jul 1957,96 min,100.0,8.1,"26,523",tt0051036,
799,sunset blvd.,Film-Noir,0,0,0,0,0,0.0,1950,Passed,29 Sep 1950,110 min,,8.4,"193,512",tt0043014,
800,gattaca,Sci-Fi,0,1,6,2,1,0.0,1997,PG-13,24 Oct 1997,106 min,64.0,7.8,"274,114",tt0119177,
801,slither,Horror,4,3,15,25,18,0.0,2006,R,31 Mar 2006,95 min,69.0,6.4,"72,340",tt0439815,"$7,774,730"
802,shivers,Horror,0,0,1,0,0,0.0,1975,R,06 Jul 1976,87 min,58.0,6.5,"17,029",tt0073705,
803,silver bullet,Horror,5,1,8,8,14,0.0,1985,R,11 Oct 1985,95 min,26.0,6.4,"22,891",tt0090021,
804,"shining, the",Horror,1,3,3,10,0,,,,,,,,,,
805,signs,Horror,3,1,2,0,1,0.0,2002,PG-13,02 Aug 2002,106 min,59.0,6.7,"329,663",tt0286106,"$227,935,522"
806,"roommate, the",Horror,3,3,4,0,8,,,,,,,,,,
807,resident evil,Horror,8,3,7,16,29,0.0,2002,R,15 Mar 2002,100 min,33.0,6.7,"241,735",tt0120804,"$39,532,308"
808,scary movie 2,Horror,0,0,0,0,0,0.0,2001,R,04 Jul 2001,83 min,29.0,5.3,"146,030",tt0257106,
809,serial mom,Horror,2,3,8,9,4,0.0,1994,R,13 Apr 1994,95 min,64.0,6.8,"26,154",tt0111127,
810,silence of the lambs,Horror,2,5,7,11,8,0.0,2002–,,07 May 2002,,,7.8,11,tt2665218,
811,"ruins, the",Horror,0,1,0,24,5,,,,,,,,,,
812,strangers on a train,Film-Noir,0,0,0,0,0,0.0,1951,PG,30 Jun 1951,101 min,88.0,8.0,"119,936",tt0044079,
813,double indemnity,Film-Noir,0,0,0,0,0,0.0,1944,Passed,06 Jul 1944,107 min,95.0,8.3,"137,436",tt0036775,
814,psycho,Horror,0,0,0,0,0,0.0,1960,R,08 Sep 1960,109 min,97.0,8.5,"580,762",tt0054215,
815,priest,Horror,1,0,3,2,7,0.0,2011,PG-13,13 May 2011,87 min,41.0,5.7,"112,664",tt0822847,"$29,100,000"
816,"relic, the",Horror,3,1,10,0,12,,,,,,,,,,
817,queen of the damned,Horror,0,0,5,0,1,0.0,2002,R,22 Feb 2002,101 min,30.0,5.3,"51,416",tt0238546,"$31,000,000"
818,predator,Horror,3,4,7,15,12,0.0,1987,R,12 Jun 1987,107 min,45.0,7.8,"362,392",tt0093773,
819,pitch black,Horror,10,0,9,29,8,0.0,2000,R,18 Feb 2000,109 min,49.0,7.1,"221,297",tt0134847,
820,pet sematary ii,Horror,9,0,8,10,13,0.0,1992,R,28 Aug 1992,100 min,35.0,4.9,"18,777",tt0105128,
821,night time (the poltergeist treatment),Horror,0,0,1,0,1,,,,,,,,,,
822,orgy of the dead,Horror,0,0,3,0,0,0.0,1965,Unrated,01 Jun 1965,92 min,,2.9,"2,400",tt0054240,
823,pet sematary,Horror,3,2,8,2,10,0.0,1989,R,21 Apr 1989,103 min,38.0,6.6,"91,220",tt0098084,
824,pandorum,Horror,2,1,6,15,7,0.0,2009,R,25 Sep 2009,108 min,28.0,6.7,"141,282",tt1188729,"$10,261,085"
825,perfect creature,Horror,0,0,1,10,3,0.0,2006,R,18 Oct 2007,90 min,,5.4,"5,228",tt0403407,
826,nightbreed,Horror,5,0,12,24,19,0.0,1990,R,16 Feb 1990,102 min,40.0,6.6,"18,970",tt0100260,
827,peeping tom,Horror,0,1,0,0,0,0.0,1960,Not Rated,01 Dec 1961,101 min,,7.7,"29,733",tt0054167,
828,crazylove,Romance,1,2,3,10,1,0.0,2005,,,95 min,,6.3,361,tt0416658,
829,mute witness,Horror,0,0,3,2,5,0.0,1995,R,15 Sep 1995,95 min,,6.7,"5,168",tt0110604,
830,"mummy, the",Horror,17,1,7,0,7,,,,,,,,,,
831,"crouching tiger, hidden dragon",Romance,0,0,0,0,0,0.0,2000,PG-13,12 Jan 2001,120 min,94.0,7.8,"248,295",tt0190332,
832,cruel intentions,Romance,10,5,0,31,23,0.0,1999,R,05 Mar 1999,97 min,56.0,6.8,"175,410",tt0139134,
833,crying game,Romance,2,7,0,71,3,,,,,,,,,,
834,misery,Horror,0,4,2,8,4,0.0,1990,R,30 Nov 1990,107 min,75.0,7.8,"176,467",tt0100157,
835,"cooler, the",Romance,4,4,5,77,20,,,,,,,,,,
836,clueless,Romance,0,0,0,0,0,0.0,1995,PG-13,19 Jul 1995,97 min,68.0,6.8,"172,678",tt0112697,
837,cinema paradiso,Romance,6,0,7,8,1,0.0,1988,R,23 Feb 1990,155 min,80.0,8.5,"220,232",tt0095765,"$239,630"
838,"cider house rules, the",Romance,2,0,5,0,2,,,,,,,,,,
839,crash,Romance,0,1,0,2,0,0.0,2004,R,06 May 2005,112 min,66.0,7.8,"413,193",tt0375679,"$55,382,847"
840,"crazy, stupid, love",Romance,11,1,6,4,11,,,,,,,,,,
841,chasing amy,Romance,14,25,5,116,60,0.0,1997,R,18 Apr 1997,113 min,71.0,7.2,"130,082",tt0118842,
842,celeste & jesse forever,Romance,2,1,0,46,18,0.0,2012,R,24 Aug 2012,92 min,59.0,6.6,"28,381",tt1405365,"$3,094,687"
843,bruce almighty,Romance,9,0,3,1,1,0.0,2003,PG-13,23 May 2003,101 min,46.0,6.8,"363,773",tt0315327,"$242,589,580"
844,"brothers bloom, the",Romance,3,5,5,19,12,,,,,,,,,,
845,"bounty hunter, the",Romance,13,9,1,20,19,,,,,,,,,,
846,bonnie and clyde,Romance,2,3,20,1,0,0.0,1967,R,14 Aug 1967,111 min,86.0,7.8,"99,575",tt0061418,
847,burning annie,Romance,5,1,4,9,34,0.0,2004,,08 Mar 2003,95 min,38.0,5.6,257,tt0307879,
848,broadcast news,Romance,4,2,7,8,9,0.0,1987,R,25 Dec 1987,133 min,84.0,7.2,"26,026",tt0092699,
849,bull durham,Romance,16,4,30,29,27,0.0,1988,R,15 Jun 1988,108 min,73.0,7.1,"45,793",tt0094812,
850,broken embraces,Romance,2,3,2,8,2,0.0,2009,R,15 Jan 2010,127 min,76.0,7.2,"37,315",tt0913425,"$4,900,000"
851,"blast from the past, the",Romance,3,6,12,4,6,,,,,,,,,,
852,"bodies, rest & motion",Romance,3,0,0,19,19,0.0,1993,R,09 Apr 1993,95 min,,5.7,"2,137",tt0106447,
853,body of evidence,Romance,2,3,0,8,1,0.0,1992,R,15 Jan 1993,99 min,29.0,4.5,"13,732",tt0106453,
854,blue valentine,Romance,6,1,3,21,13,0.0,2010,R,28 Jan 2011,112 min,81.0,7.4,"179,610",tt1120985,"$9,600,000"
855,benny & joon,Romance,0,0,0,0,0,0.0,1993,PG,23 Apr 1993,98 min,57.0,7.2,"53,594",tt0106387,
856,birdman,Romance,17,3,5,78,33,0.0,1967–1987,TV-G,09 Sep 1967,30 min,,6.8,832,tt0061237,
857,birthday girl,Romance,1,0,0,14,1,0.0,2001,R,01 Feb 2002,93 min,51.0,6.1,"23,959",tt0188453,"$4,919,896"
858,bodyguard,Romance,5,3,3,25,6,0.0,2018–,TV-MA,26 Aug 2018,60 min,,8.1,"83,514",tt7493974,
859,beginners,Romance,1,0,0,6,0,0.0,2010,R,09 Jun 2011,105 min,81.0,7.2,"85,878",tt1532503,"$5,764,842"
860,belle,Romance,0,0,1,0,0,0.0,2013,PG,13 Jun 2014,100 min,64.0,7.3,"27,285",tt2404181,"$8,792,708"
861,"big blue, the",Romance,4,3,9,2,5,,,,,,,,,,
862,"big sick, the",Romance,5,1,1,56,14,,,,,,,,,,
863,"battle of shaker heights, the",Romance,2,2,5,19,7,,,,,,,,,,
864,"back-up plan, the",Romance,15,2,1,17,11,,,,,,,,,,
865,"artist, the",Romance,1,0,1,0,0,,,,,,,,,,
866,as good as it gets,Romance,4,3,2,5,4,0.0,1997,PG-13,25 Dec 1997,139 min,67.0,7.7,"268,254",tt0119822,
867,g.i. joe: the rise of cobra,Sci-Fi,11,2,5,0,4,0.0,2009,PG-13,07 Aug 2009,118 min,32.0,5.8,"196,262",tt1046173,"$150,167,630"
868,angel eyes,Romance,9,3,11,1,13,0.0,2001,R,18 May 2001,102 min,39.0,5.6,"22,124",tt0225071,
869,annie hall,Romance,2,0,1,0,1,0.0,1977,PG,20 Apr 1977,93 min,92.0,8.0,"246,741",tt0075686,
870,autumn in new york,Romance,4,2,8,1,5,0.0,2000,PG-13,11 Aug 2000,103 min,24.0,5.7,"24,293",tt0174480,
871,escape from l.a.,Sci-Fi,5,0,6,4,15,0.0,1996,R,09 Aug 1996,101 min,54.0,5.8,"67,869",tt0116225,
872,escape from new york,Sci-Fi,10,2,2,3,14,0.0,1981,R,10 Jul 1981,99 min,76.0,7.2,"121,061",tt0082340,
873,eternal sunshine of the spotless mind,Sci-Fi,1,1,4,30,18,0.0,2004,R,19 Mar 2004,108 min,89.0,8.3,"880,215",tt0338013,"$34,126,138"
874,e.t.,Sci-Fi,0,0,0,0,1,,,,,,,,,,
875,dark star,Sci-Fi,0,0,3,3,1,0.0,1974,G,09 Feb 1979,83 min,66.0,6.3,"21,554",tt0069945,
876,fantastic four,Sci-Fi,1,0,8,0,1,0.0,2005,PG-13,08 Jul 2005,106 min,40.0,5.7,"306,728",tt0120667,"$154,485,963"
877,freaked,Sci-Fi,5,0,12,3,17,0.0,1993,PG-13,31 Mar 1994,80 min,,6.4,"6,150",tt0109838,
878,darkman,Sci-Fi,5,4,3,7,3,0.0,1990,R,24 Aug 1990,96 min,65.0,6.4,"56,589",tt0099365,
879,"day the earth stood still, the",Sci-Fi,0,0,0,0,0,,,,,,,,,,
880,"fifth element, the",Sci-Fi,1,1,3,8,8,,,,,,,,,,
881,dune,Sci-Fi,1,0,4,0,0,0.0,1984,PG-13,14 Dec 1984,137 min,40.0,6.5,"119,802",tt0087182,
882,cowboys & aliens,Sci-Fi,8,5,41,2,15,0.0,2011,PG-13,29 Jul 2011,119 min,50.0,6.0,"203,646",tt0409847,"$100,215,116"
883,chronicle,Sci-Fi,10,5,4,78,38,0.0,2012,PG-13,03 Feb 2012,84 min,69.0,7.0,"236,421",tt1706593,"$60,800,000"
884,existenz,Sci-Fi,1,0,2,7,2,0.0,1999,R,23 Apr 1999,97 min,68.0,6.8,"91,724",tt0120907,
885,brazil,Sci-Fi,1,1,5,3,7,0.0,1985,R,18 Dec 1985,132 min,84.0,7.9,"183,229",tt0088846,
886,battle: los angeles,Sci-Fi,13,0,18,2,21,,,,,,,,,,
887,blade runner,Sci-Fi,4,1,1,11,4,0.0,1982,R,25 Jun 1982,117 min,84.0,8.1,"671,833",tt0083658,
888,black panther,Sci-Fi,1,0,0,0,7,0.0,2018,PG-13,16 Feb 2018,134 min,88.0,7.3,"587,388",tt1825683,"$501,105,037"
889,"avengers, the (2012)",Sci-Fi,7,2,4,10,6,,,,,,,,,,
890,little nicky,Horror,13,1,7,0,11,0.0,2000,PG-13,10 Nov 2000,90 min,38.0,5.3,"95,788",tt0185431,"$38,542,597"
891,arcade,Sci-Fi,1,0,1,20,14,0.0,1993,R,30 Mar 1994,85 min,,4.7,"1,442",tt0106302,
892,leviathan,Horror,8,5,12,28,21,0.0,2014,R,05 Feb 2015,140 min,92.0,7.6,"47,377",tt2802154,"$754,393"
893,legion,Horror,4,6,12,50,11,0.0,2010,R,22 Jan 2010,100 min,32.0,5.2,"97,302",tt1038686,"$40,168,080"
894,avatar,Sci-Fi,10,8,14,1,14,0.0,2009,PG-13,18 Dec 2009,162 min,83.0,7.8,"1,095,138",tt0499549,"$749,700,000"
895,jurassic park iii,Horror,1,0,7,0,3,0.0,2001,PG-13,18 Jul 2001,92 min,42.0,5.9,"288,763",tt0163025,
896,jurassic park: the lost world,Horror,1,1,0,0,1,,,,,,,,,,
897,jennifer's body,Horror,9,3,2,18,13,0.0,2009,R,18 Sep 2009,102 min,47.0,5.2,"111,913",tt1131734,"$16,031,583"
898,lake placid,Horror,2,0,1,13,12,0.0,1999,R,16 Jul 1999,82 min,34.0,5.7,"53,156",tt0139414,
899,jaws 2,Horror,6,5,18,0,19,0.0,1978,PG,16 Jun 1978,116 min,51.0,5.8,"68,798",tt0077766,
900,jaws,Horror,4,5,9,0,1,0.0,1975,PG,20 Jun 1975,124 min,87.0,8.0,"531,727",tt0073195,
901,armageddon,Sci-Fi,15,4,12,4,14,0.0,1998,PG-13,01 Jul 1998,151 min,42.0,6.7,"387,888",tt0120591,
902,land of the dead,Horror,5,1,3,30,9,0.0,2005,R,24 Jun 2005,93 min,71.0,6.2,"90,019",tt0418819,"$20,433,940"
903,jurassic park,Horror,1,1,13,0,12,0.0,1993,PG-13,11 Jun 1993,127 min,68.0,8.1,"836,515",tt0107290,"$45,299,680"
904,insidious,Horror,2,3,1,6,4,0.0,2010,PG-13,01 Apr 2011,103 min,52.0,6.8,"269,122",tt1591095,"$53,700,000"
905,interview with the vampire,Horror,0,0,6,0,5,,,,,,,,,,
906,it,Horror,8,0,4,10,20,0.0,2017,R,08 Sep 2017,135 min,69.0,7.3,"436,909",tt1396484,"$326,898,358"
907,jason x,Horror,24,12,17,20,39,0.0,2001,R,26 Apr 2002,91 min,25.0,4.4,"48,982",tt0211443,"$12,610,731"
908,house of 1000 corpses,Horror,17,12,13,84,41,0.0,2003,R,11 Apr 2003,89 min,31.0,6.1,"74,271",tt0251736,"$12,583,510"
909,hollow man,Horror,3,0,25,16,19,0.0,2000,R,04 Aug 2000,112 min,24.0,5.8,"121,015",tt0164052,"$72,055,301"
910,"hills have eyes, the",Horror,1,3,1,7,3,,,,,,,,,,
911,i spit on your grave,Horror,19,10,11,29,32,0.0,2010,R,20 Jan 2011,108 min,27.0,6.3,"73,601",tt1242432,"$92,401"
912,hellraiser 3: hell on earth,Horror,5,5,3,20,19,,,,,,,,,,
913,heavy metal,Horror,3,4,4,2,4,0.0,1981,R,07 Aug 1981,86 min,51.0,6.7,"30,539",tt0082509,
914,hellboy,Horror,1,0,3,0,0,0.0,2004,PG-13,02 Apr 2004,122 min,72.0,6.8,"301,177",tt0167190,"$59,035,104"
915,hellraiser,Horror,2,2,10,11,8,0.0,1987,R,18 Sep 1987,94 min,57.0,7.0,"99,356",tt0093177,
