Film,Genre,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,A,B,D,F,S
Raging Bull,Drama,1980,R,12/19/1980,129,89,8.2,310546,tt0081398,,10,3,2,67,7
Raising Arizona,Comedy,1987,PG-13,4/17/1987,94,68,7.3,123452,tt0093822,,4,8,20,3,13
Rambling Rose,Drama,1991,R,9/20/1991,112,,6.6,4482,tt0102753,,4,13,27,0,3
Real Genius,Comedy,1985,PG,8/7/1985,108,71,7,29339,tt0089886,,0,0,0,0,0
Rear Window,Mystery,1954,PG,9/1/1954,112,100,8.4,428644,tt0047396,,0,0,0,0,0
Rebel Without a Cause,Drama,1955,PG-13,11/24/1955,111,89,7.7,81022,tt0048545,,0,0,0,0,0
Red Planet,Sci-Fi,2000,PG-13,11/10/2000,106,34,5.7,54131,tt0199753,,0,0,0,0,0
Red Riding Hood,Mystery,2011,PG-13,3/11/2011,100,29,5.5,105800,tt1486185,37200000,2,0,1,0,0
Reindeer Games,Crime,2000,R,2/25/2000,104,37,5.8,36767,tt0184858,,3,2,26,61,14
Remember Me,Romance,2010,PG-13,3/12/2010,113,40,7.1,134448,tt1403981,18242661,13,2,2,3,10
Repo Man,Sci-Fi,1984,R,3/2/1984,92,75,6.9,32672,tt0087995,,11,1,22,54,36
Reservoir Dogs,Crime,1992,R,9/2/1992,99,79,8.3,888475,tt0105236,,31,10,13,200,67
Resident Evil,Horror,2002,R,3/15/2002,100,33,6.7,241735,tt0120804,39532308,8,3,7,16,29
Revolutionary Road,Romance,2008,R,1/23/2009,119,69,7.3,190055,tt0959337,22877808,3,0,12,12,3
Ringu,Mystery,1998,Not Rated,1/31/1998,96,,7.2,61624,tt0178868,,0,0,0,0,0
Rise of the Guardians,Animation,2012,PG,11/21/2012,97,58,7.3,152477,tt1446192,98800000,0,0,0,0,0
Rise of the Planet of the Apes,Sci-Fi,2011,PG-13,8/5/2011,105,68,7.6,488681,tt1318514,175300000,4,2,5,0,0
RKO 281,Drama,1999,R,11/20/1999,86,,7,5558,tt0120801,,1,3,22,26,12
Robin Hood: Prince of Thieves,Adventure,1991,PG-13,6/14/1991,143,51,6.9,173748,tt0102798,,2,1,19,0,0
RocknRolla,Crime,2008,R,10/31/2008,114,53,7.3,229434,tt1032755,5665302,0,0,0,55,11
