Film,Genre,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,A,B,D,F,S
Legend,Romance,2015,R,11/20/2015,132,55,6.9,152324,tt3569230,14146549,2,0,3,0,1
Legion,Horror,2010,R,1/22/2010,100,32,5.2,97302,tt1038686,40168080,4,6,12,50,11
Leviathan,Horror,2014,R,2/5/2015,140,92,7.6,47377,tt2802154,754393,8,5,12,28,21
Liar Liar,Fantasy,1997,PG-13,3/21/1997,86,70,6.9,273714,tt0119528,,3,1,5,0,6
Life,Comedy,2017,R,3/24/2017,104,54,6.6,199775,tt5442430,30180466,13,10,28,19,16
Life as a House,Comedy,2001,R,11/9/2001,125,45,7.5,42248,tt0264796,15412701,4,1,2,16,11
Life of Pi,Adventure,2012,PG,11/21/2012,127,79,7.9,566900,tt0454876,103500000,0,0,0,0,0
Light Sleeper,Drama,1992,R,3/13/1992,103,70,6.9,5232,tt0102307,,5,1,2,26,8
Lincoln,Drama,2012,PG-13,11/16/2012,150,86,7.3,239062,tt0443272,129477447,0,2,18,1,3
Little Athens,Comedy,2005,R,6/1/2005,103,,5.6,902,tt0417907,,41,11,1,136,79
Little Men,Drama,2016,PG,5/4/2017,85,86,6.7,6675,tt4919484,702191,0,2,2,1,1
Little Nicky,Horror,2000,PG-13,11/10/2000,90,38,5.3,95788,tt0185431,38542597,13,1,7,0,11
Living in Oblivion,Comedy,1995,R,7/21/1995,90,81,7.5,15918,tt0113677,,8,0,5,47,13
Logan,Sci-Fi,2017,R,3/3/2017,137,77,8.1,619868,tt3315342,226276809,11,1,4,35,19
Logan's Run,Sci-Fi,1976,PG,6/23/1976,119,53,6.8,50342,tt0074812,,0,0,5,0,0
Looper,Sci-Fi,2012,R,9/28/2012,113,84,7.4,522483,tt1276104,66305045,3,0,8,29,13
Lord of Illusions,Horror,1995,R,8/25/1995,109,,6.1,14199,tt0113690,,2,1,4,32,18
Lord of War,Crime,2005,R,9/16/2005,122,62,7.6,288049,tt0399295,24033036,2,0,2,54,3
Lost in Space,Sci-Fi,2018,TV-PG,4/13/2018,60,,7.3,69373,tt5232792,,1,1,11,0,2
Lost in Translation,Romance,2003,R,10/3/2003,102,89,7.7,398514,tt0335266,44566004,0,0,0,3,1
Machete,Thriller,2010,R,9/3/2010,105,60,6.6,187641,tt0985694,26200000,10,12,11,50,14
Machine Gun Preacher,Crime,2011,R,11/2/2011,129,43,6.8,61962,tt1586752,400000,1,4,6,28,13
Mad Max 2: The Road Warrior,Sci-Fi,1981,R,5/21/1982,96,77,7.6,162472,tt0082694,,0,0,0,0,0
Made,Crime,2001,R,8/31/2001,95,62,6.4,16911,tt0227005,3673981,22,3,10,126,85
Magnolia,Drama,1999,R,1/7/2000,188,77,8,282457,tt0175880,,13,6,10,168,34
Major League,Comedy,1989,R,4/7/1989,107,62,7.2,60183,tt0097815,,5,2,8,14,25
Malcolm X,Drama,1992,PG-13,11/18/1992,202,72,7.7,82459,tt0104797,,2,9,4,1,13
Malibu's Most Wanted,Comedy,2003,PG-13,4/18/2003,86,43,5.1,18248,tt0328099,34308901,37,17,30,1,7
Man on Fire,Crime,2004,R,4/23/2004,146,47,7.7,321537,tt0328107,77600000,6,0,3,19,6
Man on the Moon,Comedy,1999,R,12/22/1999,118,58,7.4,121427,tt0125664,,6,0,3,6,6
Man Trouble,Romance,1992,PG-13,7/17/1992,100,,4.7,2825,tt0104804,,5,6,15,6,10
Manhunter,Horror,1986,R,8/15/1986,120,75,7.2,63266,tt0091474,,2,3,6,8,5
Margaret,Drama,2011,R,6/1/2012,150,61,6.4,15594,tt0466893,46495,6,1,3,49,12
Margin Call,Thriller,2011,R,9/29/2011,107,76,7.1,112802,tt1615147,600000,2,0,3,67,11
Margot at the Wedding,Comedy,2007,R,12/14/2007,91,66,6,19133,tt0757361,1929081,4,1,0,39,11
Marley & Me,Romance,2008,PG,12/25/2008,115,53,7.1,143412,tt0822832,143084510,5,1,3,0,0
Martha Marcy May Marlene,Thriller,2011,R,12/21/2011,102,75,6.9,47560,tt1441326,2981038,4,0,1,14,5
Marty,Romance,1955,Not Rated,6/10/1955,90,,7.7,20694,tt0048356,,0,0,0,0,0
Max Payne,Crime,2008,PG-13,10/17/2008,100,31,5.4,120508,tt0467197,40632110,2,2,1,0,7
Mean Streets,Crime,1973,R,10/14/1973,112,96,7.3,95563,tt0070379,,0,2,3,11,12
Meet John Doe,Comedy,1941,Not Rated,5/3/1941,122,,7.7,11442,tt0033891,,0,0,0,0,0
Megamind,Sci-Fi,2010,PG,11/5/2010,95,63,7.2,221105,tt1001526,148244405,7,2,3,0,6
Men in Black,Sci-Fi,1997,PG-13,7/2/1997,98,71,7.3,503621,tt0119654,,4,1,12,0,10
Men in Black 3,Sci-Fi,2012,PG-13,5/25/2012,106,58,6.8,327497,tt1409024,179020854,10,1,11,0,5
Metro,Thriller,1997,R,1/17/1997,117,,5.5,25096,tt0119664,,5,5,6,45,27
Miami Vice,Crime,2006,R,7/28/2006,132,65,6,107576,tt0430357,63400000,4,2,1,23,10
Midnight Cowboy,Drama,1969,R,6/16/1969,113,79,7.8,97754,tt0064665,,3,3,3,0,1
Midnight Express,Thriller,1978,R,10/6/1978,121,59,7.6,71083,tt0077928,,14,1,8,43,21
Midnight in Paris,Romance,2011,PG-13,6/10/2011,94,81,7.7,376423,tt1605783,55400000,0,0,5,0,0
Mighty Joe Young,Family,1998,PG,12/25/1998,114,51,5.6,26935,tt0120751,,3,0,5,0,0
Mighty Morphin Power Rangers: The Movie,Family,1995,PG,6/30/1995,95,40,5.2,24582,tt0113820,,0,0,1,0,0
Milk,Drama,2008,R,1/30/2009,128,84,7.5,161742,tt1013753,31716847,5,0,7,8,12
Miller's Crossing,Thriller,1990,R,10/5/1990,115,66,7.7,123096,tt0100150,,1,16,23,1,2
Mimic,Horror,1997,R,8/22/1997,105,55,5.9,44905,tt0119675,,1,1,1,16,17
Mini's First Time,Crime,2006,R,8/9/2007,91,45,5.8,7915,tt0425253,21828,2,8,7,25,9
Misery,Horror,1990,R,11/30/1990,107,75,7.8,176467,tt0100157,,0,4,2,8,4
Mission: Impossible,Adventure,1996,PG-13,5/22/1996,110,59,7.1,377541,tt0117060,,5,4,6,1,1
Mission to Mars,Sci-Fi,2000,PG,3/10/2000,114,34,5.7,69016,tt0183523,,0,2,8,0,3
Moneyball,Drama,2011,PG-13,9/23/2011,133,87,7.6,349587,tt1210166,75605492,8,1,0,8,10
Monkeybone,Animation,2001,PG-13,2/23/2001,93,40,4.7,16394,tt0166276,4942155,11,1,6,0,7
Monster's Ball,Romance,2001,R,3/1/2002,111,69,7,80974,tt0285742,31252964,0,0,0,0,0
Monte Carlo,Romance,2011,PG,7/1/2011,109,43,5.8,40274,tt1067774,22500000,2,1,1,0,0
Moonrise Kingdom,Romance,2012,PG-13,6/29/2012,94,84,7.8,309299,tt1748122,45507865,0,0,5,0,1
Moonstruck,Romance,1987,PG,1/15/1988,102,83,7.1,47598,tt0093565,,0,2,2,0,2
Mr. Blandings Builds His Dream House,Comedy,1948,Approved,6/4/1948,94,,7.3,9775,tt0040613,,0,0,0,0,0
Mr. Deeds Goes to Town,Comedy,1936,Not Rated,4/12/1936,115,,7.9,19113,tt0027996,,0,0,0,0,0
Mud,Drama,2012,PG-13,5/10/2013,130,76,7.4,163320,tt1935179,21589307,11,8,4,0,28
Mumford,Comedy,1999,R,9/24/1999,112,62,6.8,8660,tt0140397,,5,3,3,6,6
Music of the Heart,Drama,1999,PG,10/29/1999,124,54,6.8,11502,tt0166943,,1,1,2,0,3
Mute Witness,Horror,1995,R,9/15/1995,95,,6.7,5168,tt0110604,,0,0,3,2,5
My Best Friend's Wedding,Romance,1997,PG-13,6/20/1997,105,50,6.3,124674,tt0119738,,4,4,8,12,19
My Girl,Romance,1991,PG,11/27/1991,102,56,6.9,70013,tt0102492,,0,0,2,0,3
My Mother Dreams the Satan's Disciples in New York,Short,1998,N/A,10/1/1998,30,,7.2,108,tt0177023,,1,0,1,3,2
My Week with Marilyn,Drama,2011,R,12/23/2011,99,65,7,82007,tt1655420,12600000,1,0,2,12,3
Mystery Men,Fantasy,1999,PG-13,8/6/1999,121,65,6.1,60815,tt0132347,,1,2,3,0,0
Napoleon Dynamite,Comedy,2004,PG,8/27/2004,96,64,6.9,193466,tt0374900,44478018,0,0,0,0,0
Natural Born Killers,Romance,1994,R,8/26/1994,118,74,7.3,210566,tt0110632,,20,11,8,46,30
Never Been Kissed,Romance,1999,PG-13,4/9/1999,107,60,6.1,81213,tt0151738,,0,0,0,0,0
New York Minute,Family,2004,PG,5/7/2004,91,33,5,21302,tt0363282,14018364,1,0,5,0,1
Next,Sci-Fi,2007,PG-13,4/27/2007,96,42,6.2,145493,tt0435705,17993461,5,2,6,0,6
Next Friday,Comedy,2000,R,1/12/2000,98,41,6.2,35810,tt0195945,,46,7,29,32,26
"Ni vu, ni connu",Comedy,2011,N/A,11/7/2011,100,,6.1,14,tt2070755,,0,0,3,0,0
Nick of Time,Thriller,1995,R,11/22/1995,90,,6.3,37916,tt0113972,,3,5,4,22,8
Nightbreed,Horror,1990,R,2/16/1990,102,40,6.6,18970,tt0100260,,5,0,12,24,19
Ninja Assassin,Thriller,2009,R,11/25/2009,99,34,6.3,66929,tt1186367,38105077,1,1,3,29,6
Ninotchka,Romance,1939,Not Rated,11/23/1939,110,,7.9,18327,tt0031725,,0,0,0,0,0
No Country for Old Men,Thriller,2007,R,11/21/2007,122,91,8.1,823136,tt0477348,74223625,5,2,9,2,1
No Strings Attached,Romance,2011,R,1/21/2011,108,50,6.2,208225,tt1411238,70300000,7,5,1,29,13
Notting Hill,Romance,1999,PG-13,5/28/1999,124,68,7.1,262806,tt0125439,,2,1,8,2,4
Nurse Betty,Thriller,2000,R,9/8/2000,110,69,6.1,32505,tt0171580,,12,4,32,45,30
"O Brother, Where Art Thou?",Adventure,2000,PG-13,2/2/2001,107,69,7.7,276491,tt0190590,45150731,3,10,41,0,0
Oblivion,Sci-Fi,2013,PG-13,4/19/2013,124,54,7,473697,tt1483013,89021735,0,2,1,0,0
Observe and Report,Crime,2009,R,4/10/2009,86,54,5.8,59971,tt1197628,23993605,18,10,34,87,46
Obsessed,Thriller,2009,PG-13,4/24/2009,108,25,5,28685,tt1198138,68261644,7,4,6,8,3
Ocean's Eleven,Thriller,2001,PG-13,12/7/2001,116,74,7.7,500741,tt0240772,183349128,1,2,7,7,14
Ocean's Twelve,Thriller,2004,PG-13,12/10/2004,125,58,6.5,349441,tt0349903,125402117,1,1,6,1,4
Office Space,Comedy,1999,R,2/19/1999,89,68,7.7,236377,tt0151804,,13,3,3,12,23
One Flew Over the Cuckoo's Nest,Drama,1975,R,11/19/1975,133,83,8.7,884641,tt0073486,,14,3,4,12,8
Only God Forgives,Thriller,2013,R,5/22/2013,90,37,5.7,105083,tt1602613,700000,0,1,0,28,2
Ordinary People,Drama,1980,R,9/19/1980,124,86,7.7,45278,tt0081283,,8,1,14,10,12
Orgy of the Dead,Horror,1965,Unrated,6/1/1965,92,,2.9,2400,tt0054240,,0,0,3,0,0
Out of Sight,Romance,1998,R,6/26/1998,123,85,7,82946,tt0120780,,15,0,3,51,42
Pandorum,Horror,2009,R,9/25/2009,108,28,6.7,141282,tt1188729,10261085,2,1,6,15,7
Panic Room,Thriller,2002,R,3/29/2002,112,65,6.8,250791,tt0258000,95308367,5,0,5,30,12
Papadopoulos & Sons,Comedy,2012,Not Rated,4/5/2013,105,,6,2228,tt2006810,,0,1,0,7,4
ParaNorman,Animation,2012,PG,8/17/2012,92,72,7,91243,tt1623288,55994557,0,0,3,0,0
Pariah,Drama,2011,R,1/20/2011,86,79,7.2,5885,tt1233334,758099,8,0,13,10,14
Passengers,Sci-Fi,2016,PG-13,12/21/2016,116,41,7,336522,tt1355644,100014092,0,1,0,0,0
Paul,Sci-Fi,2011,R,3/18/2011,104,57,7,229607,tt1092026,37371385,3,2,10,25,19
Pearl Harbor,War,2001,PG-13,5/25/2001,183,44,6.2,305436,tt0213149,197761540,4,8,2,8,26
Peeping Tom,Horror,1960,Not Rated,12/1/1961,101,,7.7,29733,tt0054167,,0,1,0,0,0
Peggy Sue Got Married,Comedy,1986,PG-13,10/10/1986,103,74,6.3,31521,tt0091738,,0,1,10,0,3
Perfect Creature,Horror,2006,R,10/18/2007,90,,5.4,5228,tt0403407,,0,0,1,10,3
Pet Sematary,Horror,1989,R,4/21/1989,103,38,6.6,91220,tt0098084,,3,2,8,2,10
Pet Sematary II,Horror,1992,R,8/28/1992,100,35,4.9,18777,tt0105128,,9,0,8,10,13
Petulia,Drama,1968,R,9/2/1968,105,,7.1,2705,tt0063426,,1,1,9,0,0
Philadelphia,Drama,1993,PG-13,1/14/1994,125,66,7.7,217505,tt0107818,,6,1,7,17,13
Phone Booth,Thriller,2002,R,4/4/2003,81,56,7,246069,tt0183649,46524362,9,6,8,49,19
Pi,Sci-Fi,1998,R,7/10/1998,84,72,7.4,166458,tt0138704,,1,0,9,10,5
Pineapple Express,Crime,2008,R,8/6/2008,111,64,6.9,308770,tt0910936,,11,5,2,194,61
Pirates of the Caribbean: Dead Man's Chest,Fantasy,2006,PG-13,7/7/2006,151,53,7.3,640351,tt0383574,423032628,1,0,1,0,0
Pitch Black,Horror,2000,R,2/18/2000,109,49,7.1,221297,tt0134847,,10,0,9,29,8
Platinum Blonde,Romance,1931,Passed,10/31/1931,89,,6.9,2623,tt0022268,,0,0,0,0,0
Platoon,War,1986,R,2/6/1987,120,92,8.1,370072,tt0091763,,39,10,11,113,100
Pleasantville,Fantasy,1998,PG-13,10/23/1998,124,71,7.5,119048,tt0120789,,0,1,3,1,2
Point Break,Adventure,1991,R,7/12/1991,122,58,7.3,150813,tt0102685,,14,4,15,54,31
Precious,Drama,2009,R,11/20/2009,110,78,7.3,103598,tt0929632,47536959,22,19,8,15,13
Predator,Horror,1987,R,6/12/1987,107,45,7.8,362392,tt0093773,,3,4,7,15,12
Pretty Woman,Romance,1990,R,3/23/1990,119,51,7,278631,tt0100405,,7,3,2,4,11
Pride and Prejudice,Romance,1995,TV-PG,1/14/1996,327,,8.8,72954,tt0112130,,1,0,5,0,0
Priest,Horror,2011,PG-13,5/13/2011,87,41,5.7,112664,tt0822847,29100000,1,0,3,2,7
Prom Night,Mystery,2008,PG-13,4/11/2008,88,17,3.9,33088,tt0926129,43818159,2,1,5,0,2
Prometheus,Mystery,2012,R,6/8/2012,124,64,7,557392,tt1446714,126464904,0,1,4,4,2
Psycho,Horror,1960,R,9/8/1960,109,97,8.5,580762,tt0054215,,0,0,0,0,0
Public Enemies,Crime,2009,R,7/1/2009,140,70,7,275023,tt1152836,97000000,2,5,11,3,3
Pulp Fiction,Crime,1994,R,10/14/1994,154,94,8.9,1764981,tt0110912,,41,13,22,169,72
Punch-Drunk Love,Romance,2002,R,11/1/2002,95,78,7.3,142544,tt0272338,17800000,1,0,4,18,6
Purple Rain,Drama,1984,R,7/27/1984,111,55,6.6,18889,tt0087957,,8,2,3,22,11
Quantum Project,Short,2000,N/A,5/5/2000,40,,5.9,39,tt0239860,,0,1,0,0,0
Queen of the Damned,Horror,2002,R,2/22/2002,101,30,5.3,51416,tt0238546,31000000,0,0,5,0,1
Rachel Getting Married,Romance,2008,R,10/31/2008,113,82,6.7,46580,tt1084950,12748504,5,0,1,10,7
